All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly          # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N75      L50   L75    # N's per 100 kbp
ABySS             1939                    776                     430                      156                      58                       19392665                   16507039                   14075640                    9897989                     6407527                     9877       311947          24570492      48.96   14930    2146     282   1373   125.87           
A_STAR            51783                   12837                   6916                     2839                     1335                     378735253                  299248627                  257852459                   194970342                   143101740                   114184     1928926         421806944     49.60   19947    3662     3555  16849  1927.91          
Flye              173                     169                     169                      54                       30                       5053850                    5049000                    5049000                     3077660                     2344836                     185        124885          5061630       60.52   36767    18886    35    88     0.00             
HipMer            27123                   9298                    5112                     2210                     1127                     319246746                  277185142                  247934763                   203418344                   165491258                   34511      1523357         324647419     50.10   53448    11014    1066  4689   18.46            
marmgCAMI2        34                      33                      33                       33                       33                       108751244                  108749857                  108749857                   108749857                   108749857                   43         5373173         108757101     49.69   3975877  2986827  12    20     0.00             
Megahit           33308                   15600                   9585                     4511                     2199                     506667240                  462924194                  420472575                   341098747                   259268962                   40090      1396623         511576255     50.14   51391    15832    2131  6655   0.00             
metaSPAdes        37652                   16053                   9293                     3943                     1805                     477128262                  423990752                  376106410                   292541966                   217657364                   45250      1576690         482676118     50.18   40332    11972    2334  8002   2.09             
Miniasm           9594                    7469                    5403                     2631                     1383                     293263712                  287850406                  272178578                   228459550                   184739803                   10446      2004584         293870596     49.51   80573    28742    781   2331   2.51             
OPERA_MS_inhouse  4148                    3100                    2493                     1504                     799                      157367759                  154783931                  150380174                   134286838                   109002820                   5477       1165491         158257529     49.77   98628    40185    372   1015   0.35             
SPAdes            27991                   5297                    1873                     462                      182                      142724225                  92256419                   68999544                    48483370                    38762493                    43474      1902115         153496404     50.24   7682     2733     2764  11569  51.20            
