Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	    # c. interspecies translocations	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	    # s. interspecies translocations	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
ABySS	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	1	0	1	7
A_STAR	4	4	2	2	0	0	0	0	0	0	0	4	5770	143	184	5	0	1	53	528	34	17	17	1218
Flye	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	6	6	0	6
HipMer	0	0	0	0	0	0	0	0	0	0	0	0	0	155	204	0	0	0	22	83	18	4	14	669
marmgCAMI2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	20	68	1	0	1	24
Megahit	5	5	4	0	1	0	0	0	0	0	0	5	6292	245	315	8	0	0	38	1868	62	39	23	1924
metaSPAdes	0	0	0	0	0	0	0	0	0	0	0	0	0	197	304	2	0	0	26	238	7	2	5	353
Miniasm	0	0	0	0	0	0	0	0	0	0	0	0	0	61	96	0	0	0	18	133	251	237	14	513
OPERA_MS_inhouse	0	0	0	0	0	0	0	0	0	0	0	0	0	49	80	2	0	0	19	428	195	181	14	1068
SPAdes	0	0	0	0	0	0	0	0	0	0	0	0	0	65	87	2	0	0	14	299	38	35	3	86
