Assembly	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
# contigs (>= 1000 bp)	1938	51713	173	27043	21	33184	37547	9556	4116	27957
# contigs (>= 5000 bp)	775	12789	169	9234	20	15502	15967	7433	3070	5279
# contigs (>= 10000 bp)	430	6878	169	5059	20	9495	9213	5369	2463	1863
# contigs (>= 25000 bp)	156	2809	54	2170	20	4450	3889	2605	1480	456
# contigs (>= 50000 bp)	58	1316	30	1097	20	2161	1764	1364	781	179
Total length (>= 1000 bp)	19383669	375736780	5053850	313246068	55248896	500090108	470693985	289647319	153778822	139946854
Total length (>= 5000 bp)	16498043	296297586	5049000	271223324	55247509	456414653	417610665	284239335	151200273	89517076
Total length (>= 10000 bp)	14075640	254971469	5049000	242050067	55247509	414020661	369769291	268582564	146796516	66314718
Total length (>= 25000 bp)	9897989	192227825	3077660	197779097	55247509	335106891	286636849	225000813	130798552	45853651
Total length (>= 50000 bp)	6407527	140742449	2344836	160204873	55247509	254141348	212257363	181539423	105721239	36226408
# contigs	9875	114098	185	34431	30	39952	45135	10407	5440	43435
Largest contig	311947	1928926	124885	1523357	4616522	1396623	1576690	2004584	1165491	1902115
Total length	24560905	418796468	5061630	318646741	55254753	504988929	476235261	290253689	154665645	150715309
GC (%)	48.95	49.57	60.52	50.18	49.93	50.17	50.13	49.55	49.76	49.98
N50	14930	19593	36767	50870	3296144	50704	39543	79561	96781	7393
N75	2143	3619	18886	10677	2366978	15608	11720	28423	39397	2683
L50	282	3588	35	1080	7	2129	2348	781	371	2926
L75	1373	16992	88	4764	12	6665	8050	2332	1012	11795
# N's per 100 kbp	125.81	1928.93	0.00	18.68	0.01	0.00	2.10	2.54	0.35	51.67
