Assembly	A_STAR	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
# misassemblies	0	0	0	0	0	0	0	0
  # contig misassemblies	0	0	0	0	0	0	0	0
    # c. relocations	0	0	0	0	0	0	0	0
    # c. translocations	0	0	0	0	0	0	0	0
    # c. inversions	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0
# misassembled contigs	0	0	0	0	0	0	0	0
Misassembled contigs length	0	0	0	0	0	0	0	0
# possibly misassembled contigs	0	3	1	5	3	1	2	0
    # possible misassemblies	0	3	2	6	4	1	2	0
# local misassemblies	0	0	0	0	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	1	0	0	0	0	0	1
# mismatches	0	4	0	20	6	0	6	5
# indels	0	0	0	0	0	0	0	0
    # indels (<= 5 bp)	0	0	0	0	0	0	0	0
    # indels (> 5 bp)	0	0	0	0	0	0	0	0
Indels length	0	0	0	0	0	0	0	0
