	Accuracy (bp)	Accuracy (bp) (unfiltered)	Accuracy (seq)	Accuracy (seq) (unfiltered)	Adjusted Rand index (bp)	Adjusted Rand index (bp) (unfiltered)	Adjusted Rand index (seq)	Adjusted Rand index (seq) (unfiltered)	Average completeness (bp)	Average completeness (bp) (unfiltered)	Average completeness (seq)	Average completeness (seq) (unfiltered)	Average purity (bp)	Average purity (bp) (unfiltered)	Average purity (seq)	Average purity (seq) (unfiltered)	CAMI 1 F1 score (bp)	CAMI 1 F1 score (bp) (unfiltered)	CAMI 1 F1 score (seq)	CAMI 1 F1 score (seq) (unfiltered)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (bp) (unfiltered)	CAMI 1 average completeness (seq)	CAMI 1 average completeness (seq) (unfiltered)	CAMI 1 std error of av. completeness (bp)	CAMI 1 std error of av. completeness (bp) (unfiltered)	CAMI 1 std error of av. completeness (seq)	CAMI 1 std error of av. completeness (seq) (unfiltered)	Completeness (bp)	Completeness (bp) (unfiltered)	Completeness (seq)	Completeness (seq) (unfiltered)	F1 score (bp)	F1 score (bp) (unfiltered)	F1 score (seq)	F1 score (seq) (unfiltered)	F1 score for sample (bp)	F1 score for sample (bp) (unfiltered)	F1 score for sample (seq)	F1 score for sample (seq) (unfiltered)	Misclassification rate (bp)	Misclassification rate (bp) (unfiltered)	Misclassification rate (seq)	Misclassification rate (seq) (unfiltered)	Percentage of binned bp	Percentage of binned bp (unfiltered)	Percentage of binned sequences	Percentage of binned sequences (unfiltered)	Purity (bp)	Purity (bp) (unfiltered)	Purity (seq)	Purity (seq) (unfiltered)	Rand index (bp)	Rand index (bp) (unfiltered)	Rand index (seq)	Rand index (seq) (unfiltered)	Sample	Std error of av. completeness (bp)	Std error of av. completeness (bp) (unfiltered)	Std error of av. completeness (seq)	Std error of av. completeness (seq) (unfiltered)	Std error of av. purity (bp)	Std error of av. purity (bp) (unfiltered)	Std error of av. purity (seq)	Std error of av. purity (seq) (unfiltered)	Tool	UniFrac (bp)	UniFrac (bp) (unfiltered)	UniFrac (seq)	UniFrac (seq) (unfiltered)	avg_precision_bp_var	avg_precision_bp_var (unfiltered)	avg_recall_bp_var	avg_recall_bp_var (unfiltered)	avg_recall_bp_var_cami1	avg_recall_bp_var_cami1 (unfiltered)	rank	Unnamed: 0
8	0.509757317210798	0.510211091701274	0.303237497289749	0.304571057545923	0.551271525988162	0.550634883258909	0.467961933735684	0.489999193636317	0.287618808931693	0.509593191642544	0.21436327812535	0.434882023247391	0.918997768869535	0.513786549886624	0.941412434619068	0.604961572916401	0	0	0	0	0	0	0	0	0	0	0	0	0.509757317210798	0.510211091701274	0.303237497289749	0.304571057545923	0.438119363774698	0.51168127949946	0.349210064422829	0.506012469158618	0.64432950007596	0.643787471058823	0.45385170329493	0.454856045597457	0.12456105721952	0.127888381852711	0.098270955307592	0.102083634039219	0.582287687124996	0.585029577733599	0.336284495963182	0.339197579075227	0.87543894278048	0.872111618147288	0.901729044692408	0.897916365960781	0.781933259786966	0.781081220547514	0.822776805097231	0.823165303367451	contigs	0.220359945951127	0.23090378170448	0.202975119182234	0.237635781871755	0.078994297653072	0.239987573185337	0.045995047635208	0.22224321519207	Kraken	6.124582647108	6.12446674023443	8.29214332621518	8.29164619346663	0	0	0	0	0	0	superkingdom	
9	0.371188399373156	0.373256954037818	0.266252564092474	0.271860992592735	0.708022099723609	0.705532422293256	0.77175513710579	0.772179260006601	0.128912368111725	0.581050822157879	0.120152056315033	0.55927067346513	0.541218125262554	0.196537607703433	0.686643032237831	0.256062426854955	0	0	0	0	0	0	0	0	0	0	0	0	0.371188399373156	0.373256954037818	0.266252564092474	0.271860992592735	0.208227235985863	0.293724376946788	0.204516793541087	0.351287604685901	0.472184738741788	0.473231885497512	0.401116494845587	0.407195215821983	0.351315144571378	0.353645400937859	0.187157271233832	0.189166373243263	0.572216841917623	0.577480154979036	0.327557293274462	0.335285789367364	0.648684855428622	0.646354599062141	0.812842728766168	0.810833626756737	0.86910368637077	0.868966272778728	0.900866323386116	0.903393894177055	contigs	0.045860952047235	0.099107013330777	0.043008616607764	0.096868623395392	0.124223282700937	0.050336640641152	0.111826304428648	0.058396397073808	Kraken	6.124582647108	6.12446674023443	8.29214332621518	8.29164619346663	0	0	0	0	0	0	phylum	
10	0.38402685541088	0.38539504255286	0.260997409820389	0.264555313388266	0.720160232317699	0.716202006629467	0.779979390129731	0.777246984453717	0.18302249361531	0.631215507073585	0.169465737830244	0.600163723260911	0.6542166970795	0.227815168411151	0.726370907690942	0.269113759529398	0	0	0	0	0	0	0	0	0	0	0	0	0.38402685541088	0.38539504255286	0.260997409820389	0.264555313388266	0.286026675757724	0.334797047769114	0.274815687493236	0.371601287500198	0.494459718315385	0.494552545532535	0.394516616846684	0.397981929950482	0.305957674682559	0.310021007193192	0.192271205027856	0.197061842682785	0.553319072054048	0.558560545423402	0.323125053167617	0.329484046781636	0.694042325317441	0.689978992806808	0.807728794972144	0.802938157317215	0.927124229154169	0.926933562705898	0.945435013267172	0.946337151304319	contigs	0.039331398317699	0.070424924684394	0.037463775078124	0.070062907393988	0.073262529590482	0.03967241120445	0.06532926550107	0.043518522979584	Kraken	6.124582647108	6.12446674023443	8.29214332621518	8.29164619346663	0	0	0	0	0	0	class	
11	0.35717976833864	0.357978694710424	0.246136736918498	0.248504614408236	0.667332509626361	0.664494375848918	0.751002365014938	0.746506686511062	0.225353668172244	0.626630293012452	0.212103637581687	0.594645437108568	0.486087186535668	0.208712839325741	0.55349099548383	0.246392334537489	0	0	0	0	0	0	0	0	0	0	0	0	0.35717976833864	0.357978694710424	0.246136736918498	0.248504614408236	0.307942760982743	0.313130694678892	0.306683062917404	0.348417353918572	0.456461796367702	0.455851015755927	0.372732294449609	0.37468278166452	0.367815636979431	0.372622249491864	0.232539689083475	0.238836716419254	0.564993045117472	0.570595138926244	0.320715916402965	0.326480033612754	0.632184363020569	0.627377750508136	0.767460310916525	0.761163283580746	0.933512067643867	0.933865500078166	0.97245064000888	0.972717575083739	contigs	0.029118134615748	0.047814452827214	0.027930298712952	0.047255076882968	0.046085182479737	0.024901133665852	0.047462634563426	0.027778026086874	Kraken	6.124582647108	6.12446674023443	8.29214332621518	8.29164619346663	0	0	0	0	0	0	order	
12	0.369860203908611	0.369983508152632	0.260207809499618	0.260578366262739	0.55811856037207	0.554508193726255	0.731595690936873	0.725832264592508	0.187917204877437	0.623018550018453	0.179801686628384	0.596469149531564	0.392647376215643	0.146932026012494	0.445189819709294	0.168526197372599	0	0	0	0	0	0	0	0	0	0	0	0	0.369860203908611	0.369983508152632	0.260207809499618	0.260578366262739	0.254184288342155	0.237785075165391	0.256150298497877	0.26280075565797	0.468120802461055	0.466548809663628	0.389647197420194	0.388866845435268	0.362520224486119	0.36867640438434	0.224665691501911	0.234028469552103	0.580191275261183	0.586044162964998	0.335607242769472	0.340193278607061	0.637479775513881	0.63132359561566	0.775334308498089	0.765971530447897	0.94466030132866	0.944943378161894	0.983247644005324	0.983205651996442	contigs	0.018542672238546	0.038417288820612	0.017906819086639	0.037621665295411	0.03139617915806	0.014569151799768	0.033351945127831	0.015983576152831	Kraken	6.124582647108	6.12446674023443	8.29214332621518	8.29164619346663	0	0	0	0	0	0	family	
13	0.310872079823189	0.31087483184934	0.222386455133615	0.222395112938074	0.397189514907492	0.395643013214171	0.664783604787657	0.659598252055847	0.105367411388045	0.567484405920285	0.10048423364636	0.541215451114227	0.157129452410285	0.068998940794744	0.166703471187914	0.073441858571531	0	0	0	0	0	0	0	0	0	0	0	0	0.310872079823189	0.31087483184934	0.222386455133615	0.222395112938074	0.126144925419091	0.123038012316024	0.125388034295183	0.12933342853363	0.400944225458885	0.399516810699574	0.339083342740922	0.337931294153511	0.435496365883602	0.441127989533958	0.286518581238021	0.296696428487132	0.550699873367137	0.556254072538187	0.311692006667106	0.316214963134173	0.564503634116397	0.558872010466042	0.713481418761979	0.703303571512868	0.938554434085134	0.93935277589169	0.985512604645293	0.985588715608616	contigs	0.009090550483241	0.031997274115648	0.008769983695401	0.031338152950345	0.012759720349694	0.005941124457557	0.013459192750508	0.006281070818819	Kraken	6.124582647108	6.12446674023443	8.29214332621518	8.29164619346663	0	0	0	0	0	0	genus	
14	0.141255875798199	0.141259711115656	0.128766289919261	0.128775346597515	0.259402372164024	0.258792396419273	0.503607912646739	0.497874098015286	0.052175246914039	0.383874468902692	0.051027062483187	0.375416971645327	0.038749020712722	0.023668905806358	0.038934231823658	0.02384070058748	0	0	0	0	0	0	0	0	0	0	0	0	0.141255875798199	0.141259711115656	0.128766289919261	0.128775346597515	0.044470849777149	0.04458857245519	0.044167872312382	0.044834222302614	0.189980679309206	0.189360172654102	0.202947914726013	0.20225045357808	0.709979722732842	0.712868411807462	0.521241909751493	0.529027858840622	0.487055171208179	0.491968550046585	0.268958984802582	0.273424551780309	0.290020277267158	0.287131588192538	0.478758090248507	0.470972141159378	0.908753465546459	0.91019696547556	0.98852634026102	0.988639647708265	contigs	0.004528591227562	0.026519604874931	0.004462164774987	0.026243672322903	0.003332712785795	0.002040839424397	0.003384472242001	0.002074991289721	Kraken	6.124582647108	6.12446674023443	8.29214332621518	8.29164619346663	0	0	0	0	0	0	species	
15	0.483548705445125	0.483570094582598	0.490007546410424	0.490047793932686	0.977414247234478	0.976695268220499	0.986610876502886	0.985630054283252	0.076585505111994	0.468538535694162	0.076106629794803	0.465605840615294	0.415848774496849	0.082448746190174	0.402846701919947	0.079961942017699	0	0	0	0	0	0	0	0	0	0	0	0	0.483548705445125	0.483570094582598	0.490007546410424	0.490047793932686	0.129349193440972	0.140222528105006	0.128026272193627	0.136484405478274	0.628200434567101	0.626024148513515	0.64314173988492	0.640338790514707	0.103664157199984	0.112540834698565	0.064502124586032	0.076408142211839	0.539472686860979	0.544892783228339	0.523793328973185	0.530589123107109	0.896335842800016	0.887459165301435	0.935497875413967	0.923591857788161	0.998455447555403	0.998435593190949	0.999329981915651	0.999298060927634	contigs	0.00833254549029	0.038353980249525	0.008294790079563	0.038231547711548	0.034455304669645	0.008462668419298	0.034340213230098	0.008351182497771	Kraken	6.124582647108	6.12446674023443	8.29214332621518	8.29164619346663	0	0	0	0	0	0	strain	
16	0.450493957011487	0.45093722171081	0.254738277142731	0.256044443460076	0.779378524266256	0.779914435460179	0.795983536271218	0.823895721860628	0.259850649824626	0.474601664680846	0.184606781573551	0.397994707682864	0.968565798080805	0.653739715310998	0.991408260716919	0.730511339075978	0	0	0	0	0	0	0	0	0	0	0	0	0.450493957011487	0.45093722171081	0.254738277142731	0.256044443460076	0.409767310521359	0.549950507277903	0.311255692580125	0.515264668168307	0.610911020634115	0.611183617173036	0.405094165266322	0.406715896266025	0.051245620248503	0.05189494336678	0.011394635530001	0.011726395356685	0.474826748235389	0.47561946701573	0.257674382820387	0.259082547846137	0.948754379751498	0.94810505663322	0.98860536447	0.988273604643315	0.902783883582256	0.902714103509535	0.977471099893546	0.9774637601513	contigs	0.214453132806458	0.234320330697863	0.181418335417462	0.228440613561628	0.030940796672431	0.228783270077947	0.002948243068353	0.243817144818092	Kraken cami1	6.69618575471275	6.69505267841007	8.96976463670137	8.96572128784324	0	0	0	0	0	0	superkingdom	
17	0.36107548347809	0.364009108115726	0.239689775782374	0.24787679879996	0.873170988741611	0.873174940453855	0.965082845639272	0.96567348710644	0.095366366911885	0.55957336087838	0.082012577276635	0.531345121433996	0.7453250686048	0.31670188011638	0.817895351491515	0.364386357039058	0	0	0	0	0	0	0	0	0	0	0	0	0.36107548347809	0.364009108115726	0.239689775782374	0.24787679879996	0.169096391275847	0.404480070102276	0.149076819025738	0.432305702731054	0.49114643306717	0.493826168738417	0.383441473352975	0.393852164984074	0.232305389021178	0.232436689584759	0.042017492045628	0.041948563915425	0.470337394993191	0.474239848591515	0.250202664236736	0.258730157342071	0.767694610978822	0.76756331041524	0.957982507954372	0.958051436084575	0.939255292671922	0.939594698318914	0.983480060098684	0.984191106717219	contigs	0.041031812171507	0.099925876714171	0.035329758033406	0.097149500558578	0.157309956075559	0.069179347411804	0.163636718426361	0.076676571169296	Kraken cami1	6.69618575471275	6.69505267841007	8.96976463670137	8.96572128784324	0	0	0	0	0	0	phylum	
