Accuracy (bp)	Accuracy (bp) (unfiltered)	Accuracy (seq)	Accuracy (seq) (unfiltered)	Adjusted Rand index (bp)	Adjusted Rand index (bp) (unfiltered)	Adjusted Rand index (seq)	Adjusted Rand index (seq) (unfiltered)	Average completeness (bp)	Average completeness (bp) (unfiltered)	Average completeness (seq)	Average completeness (seq) (unfiltered)	Average purity (bp)	Average purity (bp) (unfiltered)	Average purity (seq)	Average purity (seq) (unfiltered)	CAMI 1 F1 score (bp)	CAMI 1 F1 score (bp) (unfiltered)	CAMI 1 F1 score (seq)	CAMI 1 F1 score (seq) (unfiltered)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (bp) (unfiltered)	CAMI 1 average completeness (seq)	CAMI 1 average completeness (seq) (unfiltered)	CAMI 1 std error of av. completeness (bp)	CAMI 1 std error of av. completeness (bp) (unfiltered)	CAMI 1 std error of av. completeness (seq)	CAMI 1 std error of av. completeness (seq) (unfiltered)	Completeness (bp)	Completeness (bp) (unfiltered)	Completeness (seq)	Completeness (seq) (unfiltered)	F1 score (bp)	F1 score (bp) (unfiltered)	F1 score (seq)	F1 score (seq) (unfiltered)	F1 score for sample (bp)	F1 score for sample (bp) (unfiltered)	F1 score for sample (seq)	F1 score for sample (seq) (unfiltered)	Misclassification rate (bp)	Misclassification rate (bp) (unfiltered)	Misclassification rate (seq)	Misclassification rate (seq) (unfiltered)	Percentage of binned bp	Percentage of binned bp (unfiltered)	Percentage of binned sequences	Percentage of binned sequences (unfiltered)	Purity (bp)	Purity (bp) (unfiltered)	Purity (seq)	Purity (seq) (unfiltered)	Rand index (bp)	Rand index (bp) (unfiltered)	Rand index (seq)	Rand index (seq) (unfiltered)	Sample	Std error of av. completeness (bp)	Std error of av. completeness (bp) (unfiltered)	Std error of av. completeness (seq)	Std error of av. completeness (seq) (unfiltered)	Std error of av. purity (bp)	Std error of av. purity (bp) (unfiltered)	Std error of av. purity (seq)	Std error of av. purity (seq) (unfiltered)	Tool	UniFrac (bp)	UniFrac (bp) (unfiltered)	UniFrac (seq)	UniFrac (seq) (unfiltered)	avg_precision_bp_var	avg_precision_bp_var (unfiltered)	avg_recall_bp_var	avg_recall_bp_var (unfiltered)	avg_recall_bp_var_cami1	avg_recall_bp_var_cami1 (unfiltered)	binning type	rank
1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly									Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	class
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	order
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	family
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	genus
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	0.9999999999999999	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	species
1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly									LSHVec cami2	0.5298982549789086	0.5141388264733924	0.9806053399020356	0.9677227554574025	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
0.9931052146735478	0.9948574513789952	0.9602480251422747	0.9605028454939267	0.9915262097244891	0.9911063962520413	0.9131477058736823	0.9053071882553493	0.08520056572390984	0.994966904102419	0.08187198358591166	0.941379856376727	0.9745423776299943	0.11130974461150966	0.8569195509726851	0.08021716451946323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9931052146735478	0.9948574513789952	0.9602480251422747	0.9605028454939267	0.15670132538598291	0.20022028327415836	0.14946386035461937	0.14783681093360204	0.9949435134801676	0.9956964135028294	0.9659090909090909	0.9640786631806298	0.003211369484038551	0.003463208187514888	0.028362698753760185	0.032318795105114484	0.9963047172392938	0.9983148234492822	0.9882782638240041	0.9925818964296838	0.9967886305159614	0.9965367918124851	0.9716373012462398	0.9676812048948855	0.995766025291952	0.9955554168759109	0.9565801159711096	0.9526624873175507	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.047722179036581165	0.0019803129534760443	0.045862361010693936	0.015317339842627559	0.023765049108496777	0.05316963539170665	0.12537104762282975	0.04228869526226145	LSHVec cami2	0.5298982549789086	0.5141388264733924	0.9806053399020356	0.9677227554574025	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
0.9884793910478513	0.9938421618628434	0.9447039836914974	0.9499985843313797	0.996348756020909	0.9911136840230199	0.9588788572418026	0.905236493906809	0.08272748567750417	0.9906360907665762	0.07852416002170755	0.9165277983101404	0.995507298542149	0.13210858936387332	0.9531151526040027	0.09653155979967286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9884793910478513	0.9938421618628434	0.9447039836914974	0.9499985843313797	0.15276045066863533	0.23312786751999331	0.14509444501819718	0.17466668120161122	0.9936688994260653	0.9947683605290109	0.9658146872376762	0.9548649648538662	0.0010868148656938414	0.004303712876172927	0.012109548482605481	0.04021854172030093	0.9895548539735692	0.9981378606258143	0.9562841530054644	0.9898071859339166	0.9989131851343062	0.9956962871238271	0.9878904515173945	0.9597814582796991	0.9981761332303544	0.9955579458547729	0.9794418062641925	0.9526880213659553	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0463784336013682	0.0038489132632584556	0.044031866180259914	0.018837629826868627	0.003508927639504061	0.05582503691994656	0.03679878845501633	0.04534943537408334	LSHVec cami2	0.5298982549789086	0.5141388264733924	0.9806053399020356	0.9677227554574025	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	class
0.9853571840144639	0.9907199548294561	0.9270081259378805	0.9323027265777627	0.994241272800156	0.9880179985768064	0.9524177717967661	0.8890091460364866	0.05149119571728382	0.9899688399455974	0.04822662162603385	0.9115365159956396	0.9809919258178839	0.07426745577355193	0.8402705028441482	0.05998067182145578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9853571840144639	0.9907199548294561	0.9270081259378805	0.9323027265777627	0.09784653365424203	0.13816944100402426	0.09121787001470909	0.11255502898936061	0.9908926554036142	0.9916623115739253	0.951565792341786	0.9375854214123006	0.0035093282705286333	0.007393537265899308	0.022540004776689715	0.057071676068841115	0.9888273036257484	0.9980994402359136	0.9483847221042498	0.9887312777824967	0.9964906717294714	0.9926064627341007	0.9774599952233103	0.9429283239311589	0.9971227105565577	0.9940192675699538	0.9763078291684898	0.9450164506480722	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.025233224678641884	0.0040516015020160044	0.023636291931162682	0.013412903777248606	0.01537586841807154	0.02940124112899054	0.12191107661942076	0.025019815682555527	LSHVec cami2	0.5298982549789086	0.5141388264733924	0.9806053399020356	0.9677227554574025	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	order
0.9863621261317833	0.9881208613461331	0.9181737916892142	0.9184301216143089	0.9967623054496868	0.9898298601176001	0.9604405037066579	0.8917015290460274	0.04475931879615778	0.9513525214026105	0.04177211293044285	0.8843874539160934	0.8719580530873396	0.05204483810462387	0.7517911471829419	0.04568306073321457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9863621261317833	0.9881208613461331	0.9181737916892142	0.9184301216143089	0.08514783219352642	0.09869068816593313	0.07914656909833759	0.08687841434082162	0.9911197063213191	0.9892195176159169	0.9465478514908172	0.9249766941556112	0.00407659599844401	0.009679380281585659	0.023268496636975056	0.06838273530941241	0.9903995851173333	0.9977787412192762	0.9400472786306285	0.9858448919142149	0.995923404001556	0.9903206197184143	0.9767315033630249	0.9316172646905876	0.9983913410366003	0.9949554904699113	0.9814870475272142	0.9502309576809284	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.015545999747787033	0.026445583459266255	0.014503437263794246	0.02293337040306549	0.10933366975470014	0.01693849753434402	0.12880880201062755	0.015527091571297624	LSHVec cami2	0.5298982549789086	0.5141388264733924	0.9806053399020356	0.9677227554574025	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	family
0.9638860474804869	0.9655180587334445	0.8408778739922365	0.8426694535682293	0.9606197925794331	0.9524887470502863	0.9024877551821274	0.8291147129714371	0.022402342222321077	0.9505906222194166	0.019741319535521207	0.8360656864071846	0.7945410247315584	0.024163543012959223	0.6479153628006775	0.019778275747312273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9638860474804869	0.9655180587334445	0.8408778739922365	0.8426694535682293	0.04357604373992039	0.04712908794237102	0.03831521363424493	0.03864241244864246	0.9702018140072989	0.9674665019355074	0.8755713086465814	0.8516204961071883	0.0233991067156617	0.030577174931700313	0.08674925411856271	0.1392362593790032	0.9869805097545109	0.9959720709747266	0.920752463421917	0.9789787996416841	0.9766008932843383	0.9694228250682997	0.9132507458814373	0.8607637406209968	0.9849990181465252	0.9820386693136652	0.958726724997998	0.9299799148565115	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.006698282195984769	0.019240805471954437	0.005914242072559276	0.02260042329338121	0.10335301277211416	0.006950850103357141	0.11531272715298774	0.006066365728147308	LSHVec cami2	0.5298982549789086	0.5141388264733924	0.9806053399020356	0.9677227554574025	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	genus
0.5064895089336336	0.5065203482493554	0.3819503075624171	0.38204076709685203	0.5223240489722261	0.5151401302855899	0.39012654964371307	0.3228903963295663	0.002905008554390757	0.2556059711893895	0.0023995872839597736	0.2133256175537695	0.04264751970247148	0.007251210531457233	0.039999398785618714	0.006839355253123341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5064895089336336	0.5065203482493554	0.3819503075624171	0.38204076709685203	0.00543949652412825	0.014102355492498695	0.004527563396657466	0.013253785690259227	0.5094822848360951	0.5069752959586634	0.40579849431363124	0.38345136492948373	0.4874893612446869	0.49256893834519144	0.5671769288594273	0.615127582017011	0.9882516978841603	0.9982052470290581	0.8824629115908816	0.9926426245326258	0.5125106387553131	0.5074310616548086	0.43282307114057267	0.38487241798298905	0.8507661360301111	0.8493091359881583	0.7853574655648271	0.770418672261459	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0010426320221654014	0.07339533199238278	0.0007451120954644747	0.046080206995549565	0.011371349888046374	0.001840545143629421	0.011042241853434446	0.0017885168449388114	LSHVec cami2	0.5298982549789086	0.5141388264733924	0.9806053399020356	0.9677227554574025	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	species
0.9999771025197327	0.9999771025197327	0.9988957784761743	0.9988957784761743	0.0	0.0	0.0	0.0	0.9999771025197327	0.9999771025197327	0.9988957784761743	0.9988957784761743	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999771025197327	0.9999771025197327	0.9988957784761743	0.9988957784761743	0.9999885511287913	0.9999885511287913	0.9994475842434029	0.9994475842434029	0.9999885511287913	0.9999885511287913	0.9994475842434029	0.9994475842434029	0.0	0.0	0.0	0.0	0.9999771025197327	0.9999771025197327	0.9988957784761743	0.9988957784761743	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly									PhyloPythiaS+ 1.4	0.27996539882059035	0.26382191904747826	1.6224101161175704	1.6101085288159829	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
0.9873475698109133	0.989091900712058	0.8636711118661343	0.8638976188453806	0.9962024036361637	0.9961294887801544	0.9377579479418446	0.9366614716857259	0.7376410456660911	0.9859774683087141	0.6527378071672477	0.8527378071672478	0.996309057363491	0.960002730614438	0.9367596438417998	0.7581252884369054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9873475698109133	0.989091900712058	0.8636711118661343	0.8638976188453806	0.8476812032781602	0.9728167454370438	0.769373282575447	0.8026530594485576	0.9930754629375773	0.9938055824839944	0.9190166305133767	0.9187594098163204	0.001129797762133955	0.0014355929413950586	0.018058908739739254	0.018938297803929083	0.9884643346040982	0.9905138754399935	0.879554913785781	0.8805741951923893	0.998870202237866	0.9985644070586049	0.9819410912602607	0.9810617021960709	0.998103240759825	0.9980663219102881	0.9689067567405686	0.9683620123255722	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.24593840300500694	0.005880864466058401	0.22008423138894653	0.03748814857743256	0.002910057698879564	0.03636459239307384	0.047772014756344	0.18180020799730207	PhyloPythiaS+ 1.4	0.27996539882059035	0.26382191904747826	1.6224101161175704	1.6101085288159829	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
0.9801761199189328	0.985448131769801	0.8232113026982644	0.8279113225176251	0.9988306525094086	0.9980518117569064	0.9798490371819673	0.9735289173993088	0.49013659123251546	0.9777770565796651	0.41983054728039865	0.8157197336595553	0.9993747658512194	0.7973149250235386	0.9903836795134269	0.6576257021905759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9801761199189328	0.985448131769801	0.8232113026982644	0.8279113225176251	0.6577058157611262	0.878372781395189	0.5896881683473276	0.7281907549793926	0.9898260188174336	0.9921611702196914	0.9007683251750418	0.9020406274582389	0.00033218525597022985	0.0010337033169461884	0.005540924171426598	0.00924984752998581	0.9805018281697027	0.9864678468551559	0.8277980690280019	0.8356408731844049	0.9996678147440298	0.9989662966830538	0.9944590758285734	0.9907501524700142	0.9994160907000924	0.9990264712565056	0.989933085527327	0.986789759679034	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.21922553306507547	0.0076956550193871395	0.18875196261754607	0.028624592114228145	0.0003894526601708436	0.1612407310660119	0.004886326134314101	0.17919758029461708	PhyloPythiaS+ 1.4	0.27996539882059035	0.26382191904747826	1.6224101161175704	1.6101085288159829	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	class
0.9754423042742566	0.9807025139182308	0.7662447974178205	0.7708881904923696	0.9992697023321676	0.9988351283169934	0.9890083494044576	0.9844735917518995	0.49034345579701255	0.9779365451952159	0.39000285701155646	0.7783371426820752	0.9972020685369773	0.7404106100179177	0.947725639314575	0.6926128196572875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9754423042742566	0.9807025139182308	0.7662447974178205	0.7708881904923696	0.6574205634927042	0.8427570549875236	0.5526019786688877	0.732977051346708	0.9873233915031796	0.989727142258609	0.8658220558594876	0.8678343187722122	0.0005025243492914333	0.0010805937721877212	0.004853833425262022	0.0073282776724514775	0.975932734236481	0.9817634013354758	0.7699821625753843	0.7765791783459328	0.9994974756507086	0.9989194062278123	0.995146166574738	0.9926717223275485	0.9996350250900714	0.999418204345573	0.9945204567001392	0.9922725546141845	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.18536286244431885	0.007297182948623926	0.14762354274313544	0.012724468005057422	0.0023657136043802067	0.1617592223537758	0.04681457677967826	0.15490980447255764	PhyloPythiaS+ 1.4	0.27996539882059035	0.26382191904747826	1.6224101161175704	1.6101085288159829	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	order
0.9702696016505463	0.9769966418344227	0.7491669277434422	0.7500213608270913	0.9998274910082017	0.9996820712888383	0.9959830097091099	0.9951393287535664	0.5160235010488726	0.9666782560370056	0.39019467950502584	0.7465205199687981	0.9984146201219141	0.6913166437258635	0.9874413738810365	0.6669777159094176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9702696016505463	0.9769966418344227	0.7491669277434422	0.7500213608270913	0.6803914938107787	0.8061312705145873	0.5593558174737175	0.7045110331940999	0.9847916313228328	0.9881860506317828	0.8557903469816016	0.8561396664390909	0.0002450313793408432	0.00036526964193506206	0.0022001365602002387	0.002764418525390999	0.9705074064190016	0.977353639448348	0.7508188317051636	0.7521004813306371	0.9997549686206592	0.9996347303580649	0.9977998634397998	0.997235581474609	0.9999140777422209	0.9998419304331385	0.9980785884442743	0.9976773663128903	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.13807518068482877	0.011296359065944207	0.10509739023693025	0.024354693088891485	0.0013134457805157088	0.13304575200742952	0.0056551322708509565	0.1295693370674346	PhyloPythiaS+ 1.4	0.27996539882059035	0.26382191904747826	1.6224101161175704	1.6101085288159829	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	family
