Accuracy (bp)	Accuracy (bp) (unfiltered)	Accuracy (seq)	Accuracy (seq) (unfiltered)	Adjusted Rand index (bp)	Adjusted Rand index (bp) (unfiltered)	Adjusted Rand index (seq)	Adjusted Rand index (seq) (unfiltered)	Average completeness (bp)	Average completeness (bp) (unfiltered)	Average completeness (seq)	Average completeness (seq) (unfiltered)	Average purity (bp)	Average purity (bp) (unfiltered)	Average purity (seq)	Average purity (seq) (unfiltered)	CAMI 1 F1 score (bp)	CAMI 1 F1 score (bp) (unfiltered)	CAMI 1 F1 score (seq)	CAMI 1 F1 score (seq) (unfiltered)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (bp) (unfiltered)	CAMI 1 average completeness (seq)	CAMI 1 average completeness (seq) (unfiltered)	CAMI 1 std error of av. completeness (bp)	CAMI 1 std error of av. completeness (bp) (unfiltered)	CAMI 1 std error of av. completeness (seq)	CAMI 1 std error of av. completeness (seq) (unfiltered)	Completeness (bp)	Completeness (bp) (unfiltered)	Completeness (seq)	Completeness (seq) (unfiltered)	F1 score (bp)	F1 score (bp) (unfiltered)	F1 score (seq)	F1 score (seq) (unfiltered)	F1 score for sample (bp)	F1 score for sample (bp) (unfiltered)	F1 score for sample (seq)	F1 score for sample (seq) (unfiltered)	Misclassification rate (bp)	Misclassification rate (bp) (unfiltered)	Misclassification rate (seq)	Misclassification rate (seq) (unfiltered)	Percentage of binned bp	Percentage of binned bp (unfiltered)	Percentage of binned sequences	Percentage of binned sequences (unfiltered)	Purity (bp)	Purity (bp) (unfiltered)	Purity (seq)	Purity (seq) (unfiltered)	Rand index (bp)	Rand index (bp) (unfiltered)	Rand index (seq)	Rand index (seq) (unfiltered)	Sample	Std error of av. completeness (bp)	Std error of av. completeness (bp) (unfiltered)	Std error of av. completeness (seq)	Std error of av. completeness (seq) (unfiltered)	Std error of av. purity (bp)	Std error of av. purity (bp) (unfiltered)	Std error of av. purity (seq)	Std error of av. purity (seq) (unfiltered)	Tool	UniFrac (bp)	UniFrac (bp) (unfiltered)	UniFrac (seq)	UniFrac (seq) (unfiltered)	avg_precision_bp_var	avg_precision_bp_var (unfiltered)	avg_recall_bp_var	avg_recall_bp_var (unfiltered)	avg_recall_bp_var_cami1	avg_recall_bp_var_cami1 (unfiltered)	binning type	rank
1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_16									Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	class
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	order
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	family
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	0.9999999999999999	1.0	1.0	strmgCAMI2_short_read_sample_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	genus
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0000000000000002	1.0000000000000002	1.0	1.0	strmgCAMI2_short_read_sample_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	species
0.9843580754230332	0.9843580754230332	0.9843580754230332	0.9843580754230332	0.0	0.0	0.0	0.0	0.4921790377115166	0.9843580754230332	0.4921790377115166	0.9843580754230332	1.0	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9843580754230332	0.9843580754230332	0.9843580754230332	0.9843580754230332	0.6596782628260854	0.6631540540799072	0.6596782628260854	0.6631540540799072	0.9921173881011207	0.9921172378576113	0.9921173881011207	0.9921172378576113	0.0	3.052808240644467e-07	0.0	3.052808240644467e-07	0.9843580754230332	0.9843583759287693	0.9843580754230332	0.9843583759287693	1.0	0.9999996947191759	1.0	0.9999996947191759	1.0	0.999999389438538	1.0	0.9999993894384918	strmgCAMI2_short_read_sample_16	0.49217903771151655		0.49217903771151655			0.5		0.5	Ganon 0.1.4	1.1091076993268696	1.0765928258519064	1.1091076993268696	1.0765928258519064	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
0.9379499228226144	0.9443164373482352	0.9379499228226144	0.9443164373482352	0.9998025371430858	0.9997794272221081	0.9998025371296261	0.9997794272067355	0.20893107044522177	0.8550386049186476	0.20893107044522177	0.8550386049186476	0.9999498942070197	0.44345198688028387	0.9999498942070197	0.44345198688028387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9379499228226144	0.9443164373482352	0.9379499228226144	0.9443164373482352	0.34564296716899506	0.5840143480519477	0.34564296716899506	0.5840143480519477	0.9679581741222735	0.9713318046143163	0.9679581741222735	0.9713318046143163	4.9977670233181115e-05	6.157287675001566e-05	4.9977670233181115e-05	6.157287675001566e-05	0.9379968017174504	0.9443745852081761	0.9379968017174504	0.9443745852081761	0.9999500223297668	0.99993842712325	0.9999500223297668	0.99993842712325	0.9999018560051605	0.9998901473934763	0.9999018559973523	0.9998901473847956	strmgCAMI2_short_read_sample_16	0.13825606718720157	0.06014077681080148	0.13825606718720157	0.06014077681080148	4.612902438916322e-07	0.17529203107420868	4.612902438916322e-07	0.17529203107420868	Ganon 0.1.4	1.1091076993268696	1.0765928258519064	1.1091076993268696	1.0765928258519064	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
0.9059807703374394	0.9123318088176496	0.9059807703374394	0.9123318088176496	0.9998420575310168	0.9997370797318276	0.9998420575195812	0.9997370797123564	0.10157027293095844	0.6795043532208289	0.10157027293095844	0.6795043532208289	0.9999590372644587	0.22473155447536663	0.9999590372644587	0.22473155447536663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9059807703374394	0.9123318088176496	0.9059807703374394	0.9123318088176496	0.18440927789150002	0.33775714561293785	0.18440927789150002	0.33775714561293785	0.9506534089005507	0.954112011967302	0.9506534089005507	0.954112011967302	3.9967177163036105e-05	9.748758680017122e-05	3.9967177163036105e-05	9.748758680017122e-05	0.9060169812786429	0.9124207585155437	0.9060169812786429	0.9124207585155437	0.999960032822837	0.9999025124131998	0.999960032822837	0.9999025124131998	0.9999213558379273	0.9998688631869397	0.99992135583145	0.9998688631762144	strmgCAMI2_short_read_sample_16	0.06967663656419046	0.1672415961965503	0.06967663656419046	0.1672415961965503	3.924258118959134e-06	0.1002635308850808	3.924258118959134e-06	0.1002635308850808	Ganon 0.1.4	1.1091076993268696	1.0765928258519064	1.1091076993268696	1.0765928258519064	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	class
