rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	marmgCAMI2_short_read_sample_9	0.09822181441710377	6.470255920970418	0.6765509999999999	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.47800123642144304
superkingdom	marmgCAMI2_short_read_sample_0	0.09822181441710377	6.470255920970418	0.7976899999999999	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.6058794666796294
superkingdom	marmgCAMI2_short_read_sample_1	0.09822181441710377	6.470255920970418	0.733553	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.52827298541611
superkingdom	marmgCAMI2_short_read_sample_2	0.09822181441710377	6.470255920970418	0.7629130000000001	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.5676896414962225
superkingdom	marmgCAMI2_short_read_sample_3	0.09822181441710377	6.470255920970418	0.734875	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.5349692831720994
superkingdom	marmgCAMI2_short_read_sample_8	0.09822181441710377	6.470255920970418	0.7436400000000001	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.5434836627483769
superkingdom	marmgCAMI2_short_read_sample_5	0.09822181441710377	6.470255920970418	0.668065	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.4585527205386235
superkingdom	marmgCAMI2_short_read_sample_6	0.09822181441710377	6.470255920970418	0.6965340000000001	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.4881928285065464
superkingdom	marmgCAMI2_short_read_sample_7	0.09822181441710377	6.470255920970418	0.7447	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.5404326654426439
superkingdom	marmgCAMI2_short_read_sample_4	0.09822181441710377	6.470255920970418	0.7302160000000001	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.5218340829799489
phylum	marmgCAMI2_short_read_sample_0	0.09822181441710377	6.470255920970418	0.7932029999999993	0.6470588235294118	0.06918238993710692	0.125	11.0	148.0	6.0	159.0	0.06666666666666667	1.796452836874736	0.3544065472943583	0.6086957522682117
