tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
LSHVd	marmgCAMI2_short_read_sample_0	0.09706388691240109	0.7016297910460885	0.8053778522382886	0.48	0.6	0.5333333333333332	12.0	8.0	13.0	20.0	0.36363636363636365	2.228816610899006	0.7439972625640697	0.6282326670174456	0.09706388691240109	0.7016297910460885	0.8140049999999998	0.52	0.5652173913043478	0.5416666666666667	13.0	10.0	12.0	23.0	0.37142857142857144	2.2809511858739615	0.7274614554497084	0.6305487367025912
LSHVd	marmgCAMI2_short_read_sample_1	0.09095492818954926	0.6408801068822148	0.748247119642608	0.45161290322580644	0.7	0.5490196078431372	14.0	6.0	17.0	20.0	0.3783783783783784	2.033258203642886	0.6787182625070589	0.5563491031953085	0.09095492818954926	0.6408801068822148	0.7572943742008317	0.4838709677419355	0.625	0.5454545454545454	15.0	9.0	16.0	24.0	0.375	2.089630891317421	0.6575190361355961	0.5592062020444307
LSHVd	marmgCAMI2_short_read_sample_2	0.09401185307118125	0.7355246550059843	0.7960387965343054	0.42857142857142855	0.6666666666666666	0.5217391304347826	12.0	6.0	16.0	18.0	0.35294117647058826	2.1559747983900603	0.7459160893404747	0.6042311720028605	0.09401185307118125	0.7355246550059843	0.7921115930686108	0.4642857142857143	0.6842105263157895	0.5531914893617021	13.0	6.0	15.0	19.0	0.38235294117647056	2.177730828904324	0.7396080694193334	0.5994632782605684
LSHVd	marmgCAMI2_short_read_sample_3	0.09046801851912155	0.6985418278961258	0.7292934779269163	0.4838709677419355	0.75	0.5882352941176471	15.0	5.0	16.0	20.0	0.4166666666666667	2.172445886148466	0.7251802523631999	0.5443319446452844	0.09046801851912155	0.6985418278961258	0.7365190000000001	0.4838709677419355	0.6818181818181818	0.5660377358490567	15.0	7.0	16.0	22.0	0.39473684210526316	2.212941121917881	0.7159206498485949	0.5467761824054712
LSHVd	marmgCAMI2_short_read_sample_4	0.08913685340707779	0.6989626067084131	0.7014800181233521	0.48148148148148145	0.7222222222222222	0.5777777777777777	13.0	5.0	14.0	18.0	0.40625	2.0552396954845396	0.7110641355631365	0.5200308459350071	0.08913685340707779	0.6989626067084131	0.7075399999999997	0.5185185185185185	0.7	0.5957446808510639	14.0	6.0	13.0	20.0	0.42424242424242425	2.0922130839277413	0.6983978850171553	0.522029506464684
LSHVd	marmgCAMI2_short_read_sample_5	0.08424544792188239	0.581165732276555	0.6512672024610585	0.4482758620689655	0.6190476190476191	0.52	13.0	8.0	16.0	21.0	0.35135135135135137	2.114197224824376	0.6944265539410153	0.46353761806125837	0.08424544792188239	0.581165732276555	0.6558560000000003	0.5172413793103449	0.5555555555555556	0.5357142857142857	15.0	12.0	14.0	27.0	0.36585365853658536	2.169952139184648	0.6583918523295619	0.46399434029006026
LSHVd	marmgCAMI2_short_read_sample_6	0.0872572487496237	0.7675544745756009	0.6903005477417046	0.36666666666666664	0.6875	0.47826086956521735	11.0	5.0	19.0	16.0	0.3142857142857143	1.8702555725874568	0.6745521099417182	0.5007836927552822	0.0872572487496237	0.7675544745756009	0.6973400000000002	0.4	0.6666666666666666	0.5	12.0	6.0	18.0	18.0	0.3333333333333333	1.9202417632579847	0.6643580563683907	0.5024838123457077
LSHVd	marmgCAMI2_short_read_sample_7	0.09115964142813421	0.7054131499477553	0.7326881173888771	0.42857142857142855	0.6666666666666666	0.5217391304347826	12.0	6.0	16.0	18.0	0.35294117647058826	2.0336167706203323	0.7035831169692011	0.5466279312409171	0.09115964142813421	0.7054131499477553	0.7374019999999996	0.42857142857142855	0.631578947368421	0.5106382978723404	12.0	7.0	16.0	19.0	0.34285714285714286	2.058870187018527	0.6992402293225264	0.5482167762502489
LSHVd	marmgCAMI2_short_read_sample_8	0.0923529313240965	0.8530951159581941	0.7633634101709846	0.4	0.7058823529411765	0.5106382978723405	12.0	5.0	18.0	17.0	0.34285714285714286	1.9595215054571118	0.6916251151957836	0.5709764523095369	0.0923529313240965	0.8530951159581941	0.7622206411534296	0.43333333333333335	0.7222222222222222	0.5416666666666666	13.0	5.0	17.0	18.0	0.37142857142857144	1.9849722983124316	0.6867532845523122	0.5680993790380057
LSHVd	marmgCAMI2_short_read_sample_9	0.08642973054500803	0.7938198814304411	0.6838344423044582	0.3793103448275862	0.7333333333333333	0.5	11.0	4.0	18.0	15.0	0.3333333333333333	1.9484356525691326	0.7194976118892091	0.49441924452689984	0.08642973054500803	0.7938198814304411	0.6879730000000002	0.41379310344827586	0.75	0.5333333333333333	12.0	4.0	17.0	16.0	0.36363636363636365	1.9722246182280425	0.7113296690591815	0.49584104211426866
