rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
superkingdom	marmgCAMI2_short_read_sample_9	0.08161955443209391	0.8483518930153554	0.22130845621426423	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.11065422810713212	0.08161955443209391	0.8483518930153554	0.22130845621426423	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.11065422810713212
superkingdom	marmgCAMI2_short_read_sample_0	0.08161955443209391	0.8483518930153554	0.36095545545861735	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.18047772772930867	0.08161955443209391	0.8483518930153554	0.36095545545861735	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.18047772772930867
superkingdom	marmgCAMI2_short_read_sample_1	0.08161955443209391	0.8483518930153554	0.31431828650984195	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.15715914325492097	0.08161955443209391	0.8483518930153554	0.31431828650984195	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.15715914325492097
superkingdom	marmgCAMI2_short_read_sample_2	0.08161955443209391	0.8483518930153554	0.31057515317353457	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.15528757658676728	0.08161955443209391	0.8483518930153554	0.31057515317353457	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.15528757658676728
superkingdom	marmgCAMI2_short_read_sample_3	0.08161955443209391	0.8483518930153554	0.29049687296783033	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.14524843648391514	0.08161955443209391	0.8483518930153554	0.29049687296783033	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.14524843648391514
superkingdom	marmgCAMI2_short_read_sample_8	0.08161955443209391	0.8483518930153554	0.30390676760326285	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.15195338380163143	0.08161955443209391	0.8483518930153554	0.30390676760326285	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.15195338380163143
superkingdom	marmgCAMI2_short_read_sample_5	0.08161955443209391	0.8483518930153554	0.27350464763547305	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.13675232381773653	0.08161955443209391	0.8483518930153554	0.27350464763547305	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.13675232381773653
superkingdom	marmgCAMI2_short_read_sample_6	0.08161955443209391	0.8483518930153554	0.28890711406879743	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.14445355703439872	0.08161955443209391	0.8483518930153554	0.28890711406879743	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.14445355703439872
superkingdom	marmgCAMI2_short_read_sample_7	0.08161955443209391	0.8483518930153554	0.32454956742598623	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.16227478371299311	0.08161955443209391	0.8483518930153554	0.32454956742598623	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.16227478371299311
superkingdom	marmgCAMI2_short_read_sample_4	0.08161955443209391	0.8483518930153554	0.32440161672418033	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.1622008083620902	0.08161955443209391	0.8483518930153554	0.32440161672418033	0.3333333333333333	1.0	0.5	1.0	0.0	2.0	1.0	0.3333333333333333	0.0	0.0	0.1622008083620902
phylum	marmgCAMI2_short_read_sample_0	0.08161955443209391	0.8483518930153554	0.5202888738213857	0.4117647058823529	0.7777777777777778	0.5384615384615384	7.0	2.0	10.0	9.0	0.3684210526315789	1.2666691956463338	0.5764859945185785	0.26059245786379787	0.08161955443209391	0.8483518930153554	0.5237273536360176	0.4117647058823529	0.7	0.5185185185185185	7.0	3.0	10.0	10.0	0.35	1.2861747488710424	0.5585785961979943	0.2618636768180089
phylum	marmgCAMI2_short_read_sample_8	0.08161955443209391	0.8483518930153554	0.4318879218019198	0.2608695652173913	0.8571428571428571	0.4	6.0	1.0	17.0	7.0	0.25	1.1552212430675506	0.5936662818827371	0.216459050210055	0.08161955443209391	0.8483518930153554	0.4271286908194748	0.30434782608695654	0.875	0.4516129032258065	7.0	1.0	16.0	8.0	0.2916666666666667	1.1806720359228702	0.5677832303807336	0.21356434540973732
phylum	marmgCAMI2_short_read_sample_7	0.08161955443209391	0.8483518930153554	0.4276209753817025	0.25	0.7142857142857143	0.37037037037037035	5.0	2.0	15.0	7.0	0.22727272727272727	1.1466759768670083	0.5892748837471702	0.21431561702103494	0.08161955443209391	0.8483518930153554	0.42290709277058	0.3	0.75	0.4285714285714285	6.0	2.0	14.0	8.0	0.2727272727272727	1.1719293932652037	0.5635789079785738	0.21145354638528996
phylum	marmgCAMI2_short_read_sample_6	0.08161955443209391	0.8483518930153554	0.3085522297475239	0.18181818181818182	0.6666666666666666	0.28571428571428575	4.0	2.0	18.0	6.0	0.16666666666666666	1.0416374645872855	0.5813489380000625	0.15470458847064186	0.08161955443209391	0.8483518930153554	0.3089496150899339	0.22727272727272727	0.7142857142857143	0.3448275862068965	5.0	2.0	17.0	7.0	0.20833333333333334	1.070418827059138	0.5500864608670638	0.15447480754496692
phylum	marmgCAMI2_short_read_sample_5	0.08161955443209391	0.8483518930153554	0.30585012432472247	0.3	0.75	0.4285714285714285	6.0	2.0	14.0	8.0	0.2727272727272727	1.1429633969514508	0.549649208233154	0.1536079751188601	0.08161955443209391	0.8483518930153554	0.3005555117116081	0.45	0.75	0.5625000000000001	9.0	3.0	11.0	12.0	0.391304347826087	1.1960684826241486	0.48133336627602935	0.15027775585580405
phylum	marmgCAMI2_short_read_sample_4	0.08161955443209391	0.8483518930153554	0.36857447120004044	0.3333333333333333	0.8571428571428571	0.48	6.0	1.0	12.0	7.0	0.3157894736842105	1.201948377255096	0.6176792786854056	0.18491832960219062	0.08161955443209391	0.8483518930153554	0.37487664062568593	0.3888888888888889	0.875	0.5384615384615385	7.0	1.0	11.0	8.0	0.3684210526315789	1.2359883604136965	0.5943847593884403	0.18743832031284294
phylum	marmgCAMI2_short_read_sample_3	0.08161955443209391	0.8483518930153554	0.3961891183225649	0.3181818181818182	0.875	0.4666666666666667	7.0	1.0	15.0	8.0	0.30434782608695654	1.2222041706810078	0.5877559653317661	0.19898452998885455	0.08161955443209391	0.8483518930153554	0.39273460415680456	0.4090909090909091	0.9	0.5625000000000001	9.0	1.0	13.0	10.0	0.391304347826087	1.2705896400265009	0.5518100694269484	0.19636730207840228
