tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
CCM	marmgCAMI2_short_read_sample_9	0.06431409123084607	0.7545301147611024	0.2270022617774644	0.3333333333333333	1.0	0.5	7.0	0.0	14.0	7.0	0.3333333333333333	0.8445641270543851	0.43402010491820403	0.11398499118869113	0.06431409123084607	0.7545301147611024	0.225352681336408	0.42857142857142855	0.8181818181818182	0.5625	9.0	2.0	12.0	11.0	0.391304347826087	0.896306324510747	0.37378876995939336	0.11267634066820396
CCM	marmgCAMI2_short_read_sample_8	0.06744364712048638	0.8615453451607282	0.28437222863616096	0.34782608695652173	1.0	0.5161290322580645	8.0	0.0	15.0	8.0	0.34782608695652173	0.7502715809687699	0.3608043630611889	0.14276891606766476	0.06744364712048638	0.8615453451607282	0.2883127547398831	0.43478260869565216	0.9090909090909091	0.5882352941176471	10.0	1.0	13.0	11.0	0.4166666666666667	0.7973599278323593	0.33252491752979324	0.14415637736994152
CCM	marmgCAMI2_short_read_sample_7	0.0690136752261243	0.7770870744553449	0.2839763026951652	0.35	1.0	0.5185185185185185	7.0	0.0	13.0	7.0	0.35	0.826878372651568	0.42493142504703785	0.14268835332438362	0.0690136752261243	0.7770870744553449	0.28334439966816555	0.45	0.9	0.6	9.0	1.0	11.0	10.0	0.42857142857142855	0.882925020176826	0.38344946419711273	0.14167219983408277
CCM	marmgCAMI2_short_read_sample_6	0.06635908262605034	0.7487832476336057	0.25648414724735685	0.4090909090909091	1.0	0.5806451612903226	9.0	0.0	13.0	9.0	0.4090909090909091	0.9079183107739583	0.4132114305196162	0.1287172311891808	0.06635908262605034	0.7487832476336057	0.2591922512320767	0.45454545454545453	0.8333333333333334	0.5882352941176471	10.0	2.0	12.0	12.0	0.4166666666666667	0.9519901527022643	0.3831090205273841	0.1295961256160383
CCM	marmgCAMI2_short_read_sample_5	0.06538407544580316	0.7631918240703812	0.21348648108948978	0.4	1.0	0.5714285714285715	8.0	0.0	12.0	8.0	0.4	0.973761795213173	0.46828043765372634	0.10721809915752008	0.06538407544580316	0.7631918240703812	0.217578757813304	0.55	0.7857142857142857	0.6470588235294117	11.0	3.0	9.0	14.0	0.4782608695652174	1.0298771568292588	0.3902443290155436	0.108789378906652
CCM	marmgCAMI2_short_read_sample_4	0.06717957380935646	0.7065244060705196	0.20775302001621607	0.3888888888888889	0.875	0.5384615384615385	7.0	1.0	11.0	8.0	0.3684210526315789	0.9975985266131651	0.4797434823809833	0.10431058905565062	0.06717957380935646	0.7065244060705196	0.20633815887914778	0.5	0.8181818181818182	0.6206896551724137	9.0	2.0	9.0	11.0	0.45	1.046446391970479	0.4364020413407231	0.10316907943957385
CCM	marmgCAMI2_short_read_sample_3	0.0679822328032307	0.8168811511330749	0.3185781161274098	0.3181818181818182	0.875	0.4666666666666667	7.0	1.0	15.0	8.0	0.30434782608695654	0.8070254370132812	0.3880971986167698	0.15988850500901514	0.0679822328032307	0.8168811511330749	0.31633432422117747	0.45454545454545453	0.8333333333333334	0.5882352941176471	10.0	2.0	12.0	12.0	0.4166666666666667	0.8528840788155809	0.3432258024213283	0.15816716211058868
CCM	marmgCAMI2_short_read_sample_2	0.0685555625202598	0.7721072342758118	0.36095200930221877	0.36363636363636365	0.8	0.5000000000000001	8.0	2.0	14.0	10.0	0.3333333333333333	0.7866093444798921	0.3416200977211512	0.18105445336643133	0.0685555625202598	0.7721072342758118	0.3545622331374611	0.5	0.8461538461538461	0.6285714285714286	11.0	2.0	11.0	13.0	0.4583333333333333	0.8258168519584874	0.3219622444225475	0.17728111656873047
CCM	marmgCAMI2_short_read_sample_1	0.0682585269477044	0.7240906932310505	0.3358805566984072	0.42857142857142855	1.0	0.6	9.0	0.0	12.0	9.0	0.42857142857142855	0.7444625561197881	0.33881951066755717	0.1687466259180362	0.0682585269477044	0.7240906932310505	0.33477439452602803	0.6190476190476191	0.8666666666666667	0.7222222222222222	13.0	2.0	8.0	15.0	0.5652173913043478	0.8055124836248583	0.2974510898272878	0.16738719726301407
CCM	marmgCAMI2_short_read_sample_0	0.06963025296245946	0.7376518250567771	0.34930739746880496	0.5882352941176471	1.0	0.7407407407407407	10.0	0.0	7.0	10.0	0.5882352941176471	0.7350099172025383	0.31921075118522835	0.17520378729789968	0.06963025296245946	0.7376518250567771	0.35424955156248805	0.6470588235294118	0.8461538461538461	0.7333333333333334	11.0	2.0	6.0	13.0	0.5789473684210527	0.7728000851002532	0.3012925315083309	0.17712477578124403
