tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
LSHVd	marmgCAMI2_short_read_sample_0	0.08161955443209394	0.8483518930153555	0.5237273536360177	0.4117647058823529	0.7	0.5185185185185185	7.0	3.0	10.0	10.0	0.35	1.2861747488710424	0.5585785961979943	0.2618636768180089
LSHVd	marmgCAMI2_short_read_sample_1	0.07639450567716978	0.7878954776183916	0.40401009072608424	0.38095238095238093	0.7272727272727273	0.5	8.0	3.0	13.0	11.0	0.3333333333333333	1.150381961969044	0.4797465406512668	0.20200504536304217
LSHVd	marmgCAMI2_short_read_sample_2	0.07808649174129789	0.91091557720666	0.4521251429253114	0.3181818181818182	0.875	0.4666666666666667	7.0	1.0	15.0	8.0	0.30434782608695654	1.2193906381654427	0.5864029421959043	0.22606257146265576
LSHVd	marmgCAMI2_short_read_sample_3	0.07471612804887873	0.7805095977721509	0.39273460415680456	0.4090909090909091	0.9	0.5625000000000001	9.0	1.0	13.0	10.0	0.391304347826087	1.2705896400265009	0.5518100694269484	0.19636730207840228
LSHVd	marmgCAMI2_short_read_sample_4	0.07339851055417153	0.7207692906808909	0.3748766406256858	0.3888888888888889	0.875	0.5384615384615385	7.0	1.0	11.0	8.0	0.3684210526315789	1.2359883604136965	0.5943847593884403	0.18743832031284288
LSHVd	marmgCAMI2_short_read_sample_5	0.07001644543748524	0.6296908871091175	0.30055551171160816	0.45	0.75	0.5625000000000001	9.0	3.0	11.0	12.0	0.391304347826087	1.1960684826241486	0.48133336627602935	0.15027775585580402
LSHVd	marmgCAMI2_short_read_sample_6	0.07296487838914163	0.845129052621608	0.3089496150899339	0.22727272727272727	0.7142857142857143	0.3448275862068965	5.0	2.0	17.0	7.0	0.20833333333333334	1.070418827059138	0.5500864608670638	0.1544748075449669
LSHVd	marmgCAMI2_short_read_sample_7	0.07633909569076854	0.8682422867033655	0.4229070927705801	0.3	0.75	0.4285714285714285	6.0	2.0	14.0	8.0	0.2727272727272727	1.1719293932652037	0.5635789079785738	0.21145354638529004
LSHVd	marmgCAMI2_short_read_sample_8	0.07730025683176536	0.8787753351789335	0.4271286908194749	0.30434782608695654	0.875	0.4516129032258065	7.0	1.0	16.0	8.0	0.2916666666666667	1.1806720359228702	0.5677832303807336	0.2135643454097373
LSHVd	marmgCAMI2_short_read_sample_9	0.07073703391398664	0.8808513187980015	0.3260910247072604	0.23809523809523808	0.8333333333333334	0.37037037037037035	5.0	1.0	16.0	6.0	0.22727272727272727	1.100351723986503	0.6141179901008523	0.1630455123536302
