tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
CCM	marmgCAMI2_short_read_sample_9	0.06431409123084608	0.7545301147611023	0.35289924202609185	0.6551724137931034	0.8636363636363636	0.7450980392156864	19.0	3.0	10.0	22.0	0.59375	1.5201968153528316	0.49180716159404014	0.17644962101304598
CCM	marmgCAMI2_short_read_sample_8	0.06744364712048635	0.8615453451607284	0.36939932959438126	0.5666666666666667	0.8947368421052632	0.6938775510204083	17.0	2.0	13.0	19.0	0.53125	1.3577200854108722	0.4611133377249467	0.18469966479719063
CCM	marmgCAMI2_short_read_sample_7	0.0690136752261243	0.7770870744553448	0.3801678749639044	0.5714285714285714	0.8888888888888888	0.6956521739130435	16.0	2.0	12.0	18.0	0.5333333333333333	1.4548488231450012	0.5033431492577108	0.19008393748195218
CCM	marmgCAMI2_short_read_sample_6	0.06635908262605036	0.7487832476336057	0.3264670700303261	0.6	0.8571428571428571	0.7058823529411764	18.0	3.0	12.0	21.0	0.5454545454545454	1.6113418034768165	0.5292592964700619	0.1632335350151631
CCM	marmgCAMI2_short_read_sample_5	0.06538407544580314	0.7631918240703818	0.3172880301961439	0.5517241379310345	0.8	0.6530612244897959	16.0	4.0	13.0	20.0	0.48484848484848486	1.7522071853476053	0.5849011277863199	0.15864401509807197
CCM	marmgCAMI2_short_read_sample_4	0.06717957380935642	0.7065244060705195	0.43175704518191244	0.6296296296296297	0.85	0.723404255319149	17.0	3.0	10.0	20.0	0.5666666666666667	1.6274046701526519	0.5432410247468403	0.21587852259095613
CCM	marmgCAMI2_short_read_sample_3	0.0679822328032307	0.8168811511330747	0.40615916878216696	0.5161290322580645	0.8421052631578947	0.6399999999999999	16.0	3.0	15.0	19.0	0.47058823529411764	1.5134705753252116	0.5140098287089208	0.2030795843910834
CCM	marmgCAMI2_short_read_sample_2	0.0685555625202598	0.772107234275812	0.400857546668825	0.6785714285714286	0.8636363636363636	0.76	19.0	3.0	9.0	22.0	0.6129032258064516	1.4348514731975937	0.46419662455255983	0.20042877333441253
CCM	marmgCAMI2_short_read_sample_1	0.06825852694770443	0.7240906932310507	0.4191324904565146	0.6129032258064516	0.8636363636363636	0.7169811320754716	19.0	3.0	12.0	22.0	0.5588235294117647	1.3452412250322143	0.4352063245105721	0.20956624522825731
CCM	marmgCAMI2_short_read_sample_0	0.06963025296245946	0.7376518250567771	0.43806548121774513	0.72	0.8571428571428571	0.782608695652174	18.0	3.0	7.0	21.0	0.6428571428571429	1.2112113279535464	0.39783294514302997	0.21903274060887257
Bracken	marmgCAMI2_short_read_sample_0	0.05264755735974145	0.9773405006496123	0.19668807795276966	0.96	0.47058823529411764	0.631578947368421	24.0	27.0	1.0	51.0	0.46153846153846156	1.6749831352190658	0.42600646409095344	0.09834403897638472
