Completeness	Purity	F1 score	L1 norm error	Bray-Curtis distance	Shannon equitability	Weighted UniFrac error	sum
Bracken (10)	DUDes (12)	MetaPhlAn (20)	MetaPhlAn (25)	MetaPhlAn (28)	mOTUs (34)	MetaPhlAn (1)	MetaPhlAn (218)
Centrifuge (24)	MetaPhlAn cami1 (28)	mOTUs (37)	mOTUs 2.0.1 (52)	mOTUs 2.0.1 (52)	DUDes cami1 (36)	mOTUs 2.0.1 (7)	mOTUs (301)
mOTUs (31)	MetaPhlAn (35)	MetaPhlAn cami1 (44)	mOTUs (63)	mOTUs (60)	MetaPhlAn (39)	MetaPhlAn cami1 (9)	MetaPhlAn cami1 (418)
TIPP cami1 (56)	mOTUs 2.0.1 (46)	mOTUs cami1 (45)	MetaPhlAn cami1 (74)	MetaPhlAn cami1 (75)	DUDes (49)	TIPP cami1 (10)	DUDes cami1 (435)
MetaPhlAn (70)	LSHVec (46)	DUDes cami1 (57)	DUDes cami1 (80)	TIPP cami1 (78)	mOTUs cami1 (80)	Centrifuge (11)	mOTUs 2.0.1 (436)
TIPP (71)	mOTUs (60)	mOTUs 2.0.1 (64)	Centrifuge (85)	DUDes cami1 (78)	MetaPhlAn cami1 (85)	Bracken (12)	mOTUs cami1 (464)
mOTUs cami1 (80)	mOTUs cami1 (65)	DUDes (87)	TIPP cami1 (90)	mOTUs cami1 (81)	FOCUS cami1 (89)	DUDes (15)	DUDes (551)
DUDes cami1 (83)	DUDes cami1 (85)	MetaPhyler (94)	mOTUs cami1 (95)	Centrifuge (86)	mOTUs 2.0.1 (99)	DUDes cami1 (16)	Centrifuge (622)
MetaPhlAn cami1 (103)	MetaPhyler (108)	Metalign (97)	Metalign (102)	Bracken (97)	Metalign (102)	mOTUs (16)	Metalign (646)
FOCUS cami1 (112)	Metalign (113)	Centrifuge (107)	Bracken (103)	Metalign (101)	CCMetagen (125)	MetaPhyler (17)	Bracken (731)
Metalign (112)	CCMetagen (144)	LSHVec (120)	DUDes (112)	DUDes (111)	FOCUS (126)	mOTUs cami1 (18)	MetaPhyler (748)
mOTUs 2.0.1 (116)	Centrifuge (148)	CCMetagen (158)	MetaPhyler (115)	MetaPhyler (123)	TIPP (142)	LSHVec (19)	TIPP cami1 (755)
MetaPhyler (134)	FOCUS (159)	Bracken (160)	LSHVec (142)	LSHVec (135)	TIPP cami1 (143)	Metalign (19)	LSHVec (819)
FOCUS (145)	FOCUS cami1 (172)	FOCUS (164)	TIPP (166)	TIPP (155)	MetaPhyler (157)	CCMetagen (23)	FOCUS cami1 (924)
DUDes (165)	Bracken (189)	FOCUS cami1 (168)	CCMetagen (171)	CCMetagen (165)	Bracken (160)	TIPP (26)	TIPP (950)
CCMetagen (170)	TIPP cami1 (196)	TIPP cami1 (182)	FOCUS cami1 (178)	FOCUS cami1 (174)	Centrifuge (161)	FOCUS cami1 (31)	CCMetagen (956)
LSHVec (183)	TIPP (198)	TIPP (192)	FOCUS (191)	FOCUS (188)	LSHVec (174)	FOCUS (33)	FOCUS (1006)
