	Completenesssuperkingdom	Completenessphylum	Completenessclass	Completenessorder	Completenessfamily	Completenessgenus	Completenessspecies	Completenessavg	Completenessstrain	Puritysuperkingdom	Purityphylum	Purityclass	Purityorder	Purityfamily	Puritygenus	Purityspecies	Purityavg	Puritystrain	F1 scoresuperkingdom	F1 scorephylum	F1 scoreclass	F1 scoreorder	F1 scorefamily	F1 scoregenus	F1 scorespecies	F1 scoreavg	F1 scorestrain	L1 norm errorsuperkingdom	L1 norm errorphylum	L1 norm errorclass	L1 norm errororder	L1 norm errorfamily	L1 norm errorgenus	L1 norm errorspecies	L1 norm erroravg	L1 norm errorstrain	Bray-Curtis distancesuperkingdom	Bray-Curtis distancephylum	Bray-Curtis distanceclass	Bray-Curtis distanceorder	Bray-Curtis distancefamily	Bray-Curtis distancegenus	Bray-Curtis distancespecies	Bray-Curtis distanceavg	Bray-Curtis distancestrain	Shannon equitabilitysuperkingdom	Shannon equitabilityphylum	Shannon equitabilityclass	Shannon equitabilityorder	Shannon equitabilityfamily	Shannon equitabilitygenus	Shannon equitabilityspecies	Shannon equitabilityavg	Shannon equitabilitystrain	Weighted UniFrac error
Bracken 2.6	71.4	57.7	67.9	63.8	58.7	56.5	29.9	58.0	0.0	93.7	48.7	50.8	37.0	25.3	11.8	2.3	38.5	0.0	80.6	52.4	57.6	46.6	35.2	19.4	4.2	46.3		0.51	0.52	0.52	0.53	0.54	0.58	1.52	0.68		0.39	0.39	0.4	0.4	0.41	0.45	0.85	0.47		0.25	0.03	0.07	0.06	0.06	0.07	0.14	0.1		9.99
MetaPhlAn 2.9.21	36.9	53.8	57.0	46.1	44.0	37.0	30.2	43.6	0.0	100.0	100.0	99.5	99.8	98.8	95.7	51.5	92.2	0.0	53.3	69.7	72.2	62.8	60.7	53.3	38.0	59.2		0.6	0.61	0.76	0.82	0.86	0.88	1.63	0.88		0.42	0.43	0.54	0.58	0.61	0.64	0.86	0.58		0.35	0.25	0.22	0.22	0.25	0.28	0.2	0.25		10.82
MetaPhlAn 3.0.7	33.3	47.6	47.8	34.9	31.8	25.4	22.3	34.7	0.0	100.0	100.0	99.0	99.7	99.2	95.5	68.8	94.6	0.0	49.5	64.1	64.2	51.4	47.9	40.0	33.5	50.8		0.6	0.63	0.8	0.85	0.91	0.95	1.64	0.91		0.42	0.44	0.56	0.6	0.64	0.68	0.87	0.6		0.35	0.29	0.23	0.24	0.24	0.26	0.16	0.25		11.03
mOTUs 2.5.1	35.7	50.5	59.5	52.1	48.6	42.6	32.1	45.9	0.0	100.0	100.0	100.0	100.0	98.9	86.9	34.1	88.6	0.0	52.1	67.0	74.4	68.4	65.0	57.0	32.9	60.4		0.6	0.59	0.59	0.61	0.61	0.64	1.66	0.76		0.42	0.42	0.42	0.43	0.43	0.47	0.88	0.5		0.35	0.17	0.25	0.21	0.22	0.24	0.22	0.24		9.97
mOTUs cami1	34.5	49.4	50.1	50.4	44.0	33.4	17.3	39.9	0.0	100.0	98.0	92.6	69.5	55.8	36.3	11.4	66.2	0.0	50.8	65.4	64.9	58.3	49.1	34.7	13.7	49.8		0.6	0.62	0.62	0.64	0.67	0.72	1.78	0.81	1.74	0.42	0.44	0.44	0.45	0.48	0.52	0.94	0.53	1.0	0.35	0.12	0.23	0.14	0.14	0.15	0.27	0.2	0.08	11.05
sourmash gather 3.3.2 k21 (nano)	40.5	56.0	66.7	62.8	57.9	55.6	35.0	53.5	0.0	71.4	37.9	35.9	30.8	21.7	11.1	2.4	30.2	0.0	51.4	44.9	46.2	41.2	31.5	18.4	4.5	38.6		0.32	0.31	0.32	0.34	0.35	0.35	0.91	0.41	1.03	0.61	0.61	0.61	0.65	0.68	0.72	0.92	0.69	1.0	0.01	0.17	0.23	0.19	0.2	0.17	0.27	0.18	0.57	10.17
sourmash gather 3.3.2 k21 (pb)	40.5	56.0	60.2	59.0	53.5	52.0	33.3	50.6	0.0	71.4	37.8	31.7	29.0	20.7	9.0	1.5	28.7	0.0	51.4	44.8	41.2	38.7	29.8	15.4	2.8	36.7		0.35	0.34	0.35	0.39	0.4	0.38	0.94	0.45	1.02	0.7	0.71	0.71	0.81	0.82	0.84	0.98	0.8	1.0	0.07	0.19	0.26	0.2	0.21	0.18	0.27	0.2	0.57	10.88
sourmash gather 3.3.2 k21 (sr)	40.5	57.8	68.6	64.2	61.5	60.9	50.4	57.7	0.0	71.4	41.5	38.8	32.7	23.4	11.4	2.8	31.7	0.0	51.4	47.9	49.3	43.2	33.8	19.2	5.4	40.9		0.11	0.12	0.15	0.17	0.17	0.2	0.91	0.26	1.24	0.12	0.13	0.17	0.18	0.19	0.22	0.65	0.24	1.0	0.15	0.02	0.03	0.0	0.01	0.01	0.07	0.04	0.47	10.11
sourmash gather 3.3.2 k31 (nano)	29.8	36.0	37.7	30.5	29.4	25.2	17.3	29.4	0.0	100.0	100.0	100.0	100.0	100.0	94.6	30.0	89.2	0.0	45.7	51.8	53.8	46.3	45.1	39.5	21.8	44.2		0.4	0.39	0.39	0.39	0.39	0.37	0.88	0.46	1.01	0.92	0.92	0.92	0.92	0.92	0.91	0.97	0.92	1.0	0.35	0.21	0.29	0.25	0.26	0.23	0.34	0.27	0.58	10.51
sourmash gather 3.3.2 k31 (pb)	29.8	26.2	29.0	14.2	12.8	9.0	7.3	18.3	0.0	100.0	100.0	100.0	100.0	100.0	98.5	64.4	94.7	0.0	45.7	41.2	44.5	24.6	22.4	16.5	13.1	30.7		0.42	0.41	0.41	0.41	0.41	0.38	0.89	0.48	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35	0.28	0.34	0.28	0.29	0.26	0.36	0.31	0.6	10.59
sourmash gather 3.3.2 k31 (sr)	34.5	54.9	66.3	60.2	56.4	52.0	46.3	52.9	0.0	100.0	100.0	99.6	99.6	98.5	89.5	22.0	87.0	0.0	50.8	70.6	79.5	75.0	71.7	65.7	29.7	65.8		0.09	0.12	0.12	0.12	0.13	0.12	0.76	0.21	1.18	0.12	0.16	0.16	0.16	0.18	0.17	0.62	0.23	1.0	0.25	0.07	0.01	0.02	0.04	0.02	0.14	0.08	0.46	10.25
