tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	phylum	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	class	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	order	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	family	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	genus	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	species	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	strain	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	superkingdom	Shannon diversity	rhimgCAMI2_sample_0	0.0546184072624539
Gold standard	superkingdom	Shannon equitability	rhimgCAMI2_sample_0	0.07879770529879598
Gold standard	phylum	Shannon diversity	rhimgCAMI2_sample_0	0.508230172790401
Gold standard	phylum	Shannon equitability	rhimgCAMI2_sample_0	0.26117864333927904
Gold standard	class	Shannon diversity	rhimgCAMI2_sample_0	1.4662129714229382
Gold standard	class	Shannon equitability	rhimgCAMI2_sample_0	0.5716342769722405
Gold standard	order	Shannon diversity	rhimgCAMI2_sample_0	1.6885536314107745
Gold standard	order	Shannon equitability	rhimgCAMI2_sample_0	0.4917180906222792
Gold standard	family	Shannon diversity	rhimgCAMI2_sample_0	2.1967203988671105
Gold standard	family	Shannon equitability	rhimgCAMI2_sample_0	0.5705548529857475
Gold standard	genus	Shannon diversity	rhimgCAMI2_sample_0	2.136995597160231
Gold standard	genus	Shannon equitability	rhimgCAMI2_sample_0	0.4949627053888723
Gold standard	species	Shannon diversity	rhimgCAMI2_sample_0	1.7670460874259786
Gold standard	species	Shannon equitability	rhimgCAMI2_sample_0	0.4021086660081504
Gold standard	strain	Shannon diversity	rhimgCAMI2_sample_0	3.145138642874507
Gold standard	strain	Shannon equitability	rhimgCAMI2_sample_0	0.6383147375481969
Gold standard	superkingdom	True positives	rhimgCAMI2_sample_0	2.0
Gold standard	superkingdom	False negatives	rhimgCAMI2_sample_0	0.0
Gold standard	superkingdom	False positives	rhimgCAMI2_sample_0	0.0
Gold standard	superkingdom	Completeness	rhimgCAMI2_sample_0	1.0
Gold standard	superkingdom	Purity	rhimgCAMI2_sample_0	1.0
Gold standard	superkingdom	F1 score	rhimgCAMI2_sample_0	1.0
Gold standard	superkingdom	Jaccard index	rhimgCAMI2_sample_0	1.0
Gold standard	superkingdom	Taxon counts	rhimgCAMI2_sample_0	2.0
Gold standard	phylum	True positives	rhimgCAMI2_sample_0	7.0
Gold standard	phylum	False negatives	rhimgCAMI2_sample_0	0.0
Gold standard	phylum	False positives	rhimgCAMI2_sample_0	0.0
Gold standard	phylum	Completeness	rhimgCAMI2_sample_0	1.0
Gold standard	phylum	Purity	rhimgCAMI2_sample_0	1.0
Gold standard	phylum	F1 score	rhimgCAMI2_sample_0	1.0
Gold standard	phylum	Jaccard index	rhimgCAMI2_sample_0	1.0
