	Completenesssuperkingdom	Completenessphylum	Completenessclass	Completenessorder	Completenessfamily	Completenessgenus	Completenessspecies	Completenessavg	Completenessstrain	Puritysuperkingdom	Purityphylum	Purityclass	Purityorder	Purityfamily	Puritygenus	Purityspecies	Purityavg	Puritystrain	F1 scoresuperkingdom	F1 scorephylum	F1 scoreclass	F1 scoreorder	F1 scorefamily	F1 scoregenus	F1 scorespecies	F1 scoreavg	F1 scorestrain	L1 norm errorsuperkingdom	L1 norm errorphylum	L1 norm errorclass	L1 norm errororder	L1 norm errorfamily	L1 norm errorgenus	L1 norm errorspecies	L1 norm erroravg	L1 norm errorstrain	Bray-Curtis distancesuperkingdom	Bray-Curtis distancephylum	Bray-Curtis distanceclass	Bray-Curtis distanceorder	Bray-Curtis distancefamily	Bray-Curtis distancegenus	Bray-Curtis distancespecies	Bray-Curtis distanceavg	Bray-Curtis distancestrain	Shannon equitabilitysuperkingdom	Shannon equitabilityphylum	Shannon equitabilityclass	Shannon equitabilityorder	Shannon equitabilityfamily	Shannon equitabilitygenus	Shannon equitabilityspecies	Shannon equitabilityavg	Shannon equitabilitystrain	Weighted UniFrac error
Bracken 2.6	42.9	23.6	26.5	30.1	33.3	42.4	30.9	32.8	0.0	100.0	100.0	100.0	96.1	86.5	41.6	4.2	75.5	0.0	59.5	37.9	41.5	45.3	47.6	41.3	7.3	45.7		0.02	0.18	0.23	0.27	0.31	0.36	1.25	0.37		0.01	0.09	0.12	0.13	0.16	0.18	0.63	0.19		0.07	0.49	0.36	0.13	0.08	0.03	0.07	0.17		3.96
MetaPhlAn 2.9.21	42.9	35.1	32.4	22.0	22.5	20.4	17.0	27.5	0.0	100.0	100.0	100.0	100.0	100.0	98.9	53.1	93.1	0.0	59.5	51.5	48.3	35.5	36.3	33.5	25.6	42.4		0.02	0.63	0.74	0.79	0.85	0.88	1.3	0.75		0.01	0.32	0.37	0.4	0.43	0.44	0.65	0.37		0.07	0.45	0.22	0.22	0.17	0.17	0.16	0.21		6.56
MetaPhlAn 3.0.7	42.9	34.0	30.4	20.1	18.3	15.3	14.0	25.0	0.0	100.0	100.0	100.0	100.0	100.0	99.7	72.1	96.0	0.0	59.5	50.3	45.9	32.8	30.6	26.3	23.1	39.7		0.02	0.69	0.83	0.9	1.0	1.04	1.27	0.82		0.01	0.34	0.42	0.45	0.5	0.52	0.64	0.41		0.07	0.45	0.2	0.22	0.15	0.14	0.11	0.19		7.08
mOTUs 2.5.1	42.9	32.1	31.3	25.6	26.6	27.4	33.0	31.3	0.0	100.0	100.0	100.0	100.0	100.0	93.3	37.0	90.0	0.0	59.5	48.2	47.3	40.4	41.7	42.0	34.6	46.4		0.02	0.19	0.33	0.33	0.34	0.34	1.35	0.41		0.01	0.09	0.16	0.17	0.17	0.17	0.68	0.21		0.07	0.37	0.28	0.2	0.13	0.09	0.09	0.17		4.28
mOTUs cami1	42.9	23.7	26.4	19.1	21.4	21.7	14.1	24.2	0.0	100.0	100.0	100.0	97.4	96.4	61.8	15.5	81.6	0.0	59.5	38.0	41.2	31.4	34.6	31.8	14.7	37.3		0.02	0.29	0.37	0.41	0.47	0.52	1.64	0.53	1.99	0.01	0.14	0.18	0.2	0.23	0.26	0.83	0.27	1.0	0.07	0.54	0.34	0.25	0.14	0.04	0.2	0.22	0.16	6.05
sourmash gather 3.3.2 k21 (nano)	42.9	42.5	43.4	54.9	52.5	54.6	36.8	46.8	0.0	100.0	92.1	80.6	55.2	33.2	13.5	2.5	53.9	0.0	59.5	57.4	55.7	54.7	40.4	21.6	4.7	50.1		0.02	0.36	0.45	0.54	0.62	0.76	1.3	0.58	1.99	0.01	0.18	0.23	0.27	0.31	0.38	0.65	0.29	1.0	0.07	0.18	0.1	0.11	0.06	0.05	0.13	0.1	0.09	6.47
sourmash gather 3.3.2 k21 (pb)	42.9	46.0	47.4	55.3	49.2	51.6	35.3	46.8	0.0	100.0	66.3	69.5	47.1	27.2	10.0	1.5	45.9	0.0	59.5	53.9	56.0	50.6	34.9	16.7	2.8	46.4		0.02	0.76	0.82	0.97	1.08	1.17	1.76	0.94	1.99	0.01	0.38	0.41	0.49	0.54	0.59	0.88	0.47	1.0	0.07	0.11	0.0	0.23	0.18	0.2	0.42	0.17	0.24	9.0
sourmash gather 3.3.2 k21 (sr)	42.9	32.1	33.9	49.4	49.4	56.5	52.2	45.2	0.0	100.0	100.0	97.6	80.8	50.9	20.7	3.4	64.8	0.0	59.5	48.2	50.0	61.0	49.9	30.2	6.3	53.2		0.02	0.2	0.24	0.26	0.31	0.35	0.73	0.3	1.99	0.01	0.1	0.12	0.13	0.15	0.18	0.37	0.15	1.0	0.07	0.34	0.25	0.1	0.02	0.04	0.0	0.12	0.23	4.52
sourmash gather 3.3.2 k31 (nano)	42.9	23.9	26.5	17.3	19.3	17.6	15.6	23.3	0.0	100.0	100.0	100.0	100.0	100.0	97.6	31.8	89.9	0.0	59.5	38.4	41.5	29.0	32.0	29.5	20.8	37.0		0.02	0.14	0.32	0.36	0.38	0.38	0.79	0.34	1.99	0.01	0.07	0.16	0.18	0.19	0.19	0.4	0.17	1.0	0.07	0.34	0.33	0.29	0.18	0.15	0.12	0.21	0.08	4.77
sourmash gather 3.3.2 k31 (pb)	42.9	28.8	29.0	14.5	13.0	9.3	7.8	20.7	0.0	100.0	100.0	100.0	100.0	100.0	98.5	64.3	94.7	0.0	59.5	44.3	44.5	25.1	22.7	16.9	13.9	34.0		0.02	0.29	0.43	0.46	0.5	0.48	0.57	0.4	2.0	0.01	0.15	0.22	0.23	0.25	0.24	0.29	0.2	1.0	0.07	0.41	0.25	0.31	0.2	0.19	0.25	0.24	0.1	5.15
