Accuracy (bp)	Accuracy (seq)	Adjusted Rand index (bp)	Adjusted Rand index (seq)	Average completeness (bp)	Average completeness (seq)	Average purity (bp)	Average purity (seq)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (seq)	Completeness (bp)	Completeness (seq)	F1 score (bp)	F1 score (seq)	F1 score for sample (bp)	F1 score for sample (seq)	Misclassification rate (bp)	Misclassification rate (seq)	Percentage of binned bp	Percentage of binned sequences	Purity (bp)	Purity (seq)	Rand index (bp)	Rand index (seq)	Sample	Std error of average completeness (bp)	Std error of average completeness (seq)	Std error of average purity (bp)	Std error of average purity (seq)	Tool	UniFrac (bp)	UniFrac (seq)	avg_precision_bp_var	avg_recall_bp_var	binning type	rank
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0	0.0	0.0	0.0	Gold standard			0.0	0.0	genome	NA
0.931711900744123	0.415041782729805	0.9763043053791168	0.9892794841288408	0.8462790069490229	0.5951645192111902	1.0	1.0	0.4220845321104173	0.29860751588044443	0.897290108610517	0.3969359331476323	0.9167401067377129	0.7462108290942924	0.9458649518471887	0.5682951146560319	0.0	0.0	0.931711900744123	0.415041782729805	1.0	1.0	0.9962973276941857	0.9981332130167503	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.06922412091197722	0.06420195042151758	0.0	0.0	MetaBAT (A1)			0.0	0.07187968374054061	genome	NA
0.918485944477223	0.38231197771587744	0.9599089875963185	0.9088065540305339	0.8235738851548358	0.5342476310700083	1.0	1.0	0.4295952362652572	0.28437247602317384	0.8695892899017592	0.3363509749303621	0.9032525546228777	0.6964294684260527	0.9302463322813036	0.5033871808233454	0.0	0.0	0.918485944477223	0.38231197771587744	1.0	1.0	0.993806320169622	0.9850890138672835	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.06816858411213929	0.06066747860666179	0.0	0.0	MetaBAT (A2)			0.0	0.06970433789780713	genome	NA
0.9979719080622552	0.9902506963788301	0.9648474526359706	0.3535081268432577	0.9063894081130266	0.8195556908647408	0.9880451196920859	0.9887655062024808	0.22012439445088164	0.21576045455253526	0.9396185463749089	0.5612813370473537	0.9454574629868688	0.8962438739901315	0.9679165289331895	0.7164650460335161	0.0020280919377447804	0.00974930362116988	1.0	1.0	0.9979719080622552	0.9902506963788301	0.9948219867686527	0.8652392922655848	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.05888668623535702	0.06752890514799578	0.011836421684054306	0.010786990439533113	MetaBinner (B1)			0.009526859723227067	0.05201462723672079	genome	NA
0.9979719080622552	0.9902506963788301	0.9648474526359706	0.3535081268432577	0.9063894081130266	0.8195556908647408	0.9880451196920859	0.9887655062024808	0.22012439445088164	0.21576045455253526	0.9396185463749089	0.5612813370473537	0.9454574629868688	0.8962438739901315	0.9679165289331895	0.7164650460335161	0.0020280919377447804	0.00974930362116988	1.0	1.0	0.9979719080622552	0.9902506963788301	0.9948219867686527	0.8652392922655848	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.05888668623535702	0.06752890514799578	0.011836421684054306	0.010786990439533113	MetaBinner (B2)			0.009526859723227067	0.05201462723672079	genome	NA
0.9980686821470974	0.9909470752089137	0.9634013051654235	0.5070211318562576	0.9245761021169696	0.8490377843882917	0.9865147692330258	0.9861808359707519	0.22015604421451646	0.2172310427878294	0.94699638382504	0.7068245125348189	0.9545417161393057	0.9124850660189897	0.971862020800762	0.8251117976513924	0.0019313178529025699	0.009052924791086325	1.0	1.0	0.9980686821470974	0.9909470752089137	0.9946153181369131	0.8895732435239195	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.03796162523859518	0.05275739212406085	0.013366705624406484	0.013369844386415147	MetaBinner (B3)			0.012149479708968717	0.021616274861333194	genome	NA
0.9978038546150132	0.9860724233983287	0.9632419382726639	0.3442476017305313	0.8910307032131506	0.8086303459059624	0.9834480697544459	0.9810070156418379	0.19691728089300192	0.1923560782870255	0.9314264304263933	0.5940111420612814	0.9349611612615124	0.8865170781957296	0.9634732460669521	0.7414013020350589	0.002196145384986803	0.013927576601671321	1.0	1.0	0.9978038546150132	0.9860724233983287	0.9945925276733644	0.8637844185843371	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.06078006250262389	0.06819986396493201	0.012773242229366518	0.012984399839379273	MetaBinner (B4)			0.012399834495805485	0.05541323996734301	genome	NA
0.4446392158903153	0.17688022284122562	0.12039234518127642	0.05981426420915542	0.8221614283224352	0.6121273684767274	0.9833265740748229	0.9791872488967924	0.09540241178445875	0.06086293638620158	0.8413022690108897	0.541782729805014	0.8955508755254314	0.7533234564293193	0.5878748609397709	0.3550405145618858	0.5482168203191586	0.7359667359667359	0.9841871851104046	0.66991643454039	0.4517831796808413	0.26403326403326405	0.5884932790018096	0.47994444456463187	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.04877897865892418	0.04885218620132878	0.013455664319631836	0.016317785262704658	Autometa (C1)			0.011406458843804637	0.03569083138511671	genome	NA
0.39728073113994383	0.1594707520891365	0.09438178226865339	0.02957797872563947	0.843727690707255	0.6280889076069577	0.9792175720280829	0.9773765432098767	0.134546561576087	0.08473874938555047	0.8619930447221363	0.5515320334261838	0.9064375081756576	0.7647369366099087	0.5498415857930928	0.33255710759955553	0.5963362080401631	0.761954261954262	0.9841871851104046	0.66991643454039	0.4036637919598369	0.23804573804573806	0.5264623374745594	0.3617290547571505	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.03931453335979381	0.04955838171225679	0.0207824279719171	0.022623456790123456	Autometa (C2)			0.0172763724963169	0.02318448799947511	genome	NA
0.9538863634410832	0.6608635097493036	0.9715327485436615	0.7413243931741277	0.8708523134011518	0.7062837151295175	0.9589792284632256	0.947110092084319	0.32621652995676376	0.304825987530426	0.9197754481306166	0.5034818941504178	0.9127936211657559	0.8091580258198686	0.9571053407966464	0.6636655705959649	0.0024064507005495672	0.026666666666666616	0.9561873812345116	0.6789693593314763	0.9975935492994504	0.9733333333333334	0.9955276354818715	0.9566198072974254	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.0746133504936708	0.07247088623139587	0.02699556413550408	0.03133022389764012	MetaWRAP (D1)			0.0306079402857528	0.08350728107837047	genome	NA
0.9590555286875879	0.7395543175487466	0.9928752009465485	0.7521650658150101	0.9016875399967964	0.7977069514721243	0.9997784540277982	0.9991496598639455	0.39085831262606624	0.36066609760726004	0.9399349808711068	0.5766016713091922	0.9482028893359902	0.8871365964386437	0.9685657056988789	0.7306938690039936	0.001004568977680087	0.0028169014084507005	0.9600199349321753	0.7416434540389972	0.9989954310223199	0.9971830985915493	0.9988892425345222	0.9513837410427477	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.059071840174746044	0.06823234929108435	0.0002215459722017347	0.0008503401360544228	UltraBinner (E1)			1.7669742407572251e-06	0.05234223452446111	genome	NA
0.9590016810108444	0.7381615598885793	0.9944981269807456	0.7567782838310159	0.9112919799960119	0.8310402848054577	0.9997654219117864	0.9990996398559424	0.4138035730090984	0.3817679718208171	0.9451193900208575	0.5842618384401114	0.9534807378951732	0.9073536269731152	0.9713108673326234	0.7368133695827328	0.0010046253272806283	0.002822201317027262	0.9599660872554318	0.7402506963788301	0.9989953746727194	0.9971777986829727	0.9991410353206371	0.9522900932407127	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.05791405671673736	0.06257964539787644	0.00023457808821360145	0.0009003601440576239	UltraBinner (E2)			1.8709139019782386e-06	0.05031056948084208	genome	NA
0.9550610261613433	0.8050139275766016	0.9940996298183978	0.6495100599686157	0.8990316996095895	0.8073136568235105	0.999750760781273	0.9990433673469388	0.4364888563603734	0.3951110619358272	0.9383724455015903	0.6441504178272981	0.946719958078978	0.8930032584101436	0.9677334793279341	0.7827704128449602	0.0010087663067291919	0.0025884383088869978	0.9560254324059306	0.8071030640668524	0.9989912336932708	0.997411561691113	0.9990765257664038	0.922711944219676	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.056763713436815556	0.060924415031275485	0.00024923921872695154	0.0009566326530612254	UltraBinner (E3)			1.9878460208518783e-06	0.04833178744705372	genome	NA
0.9679218521300099	0.685933147632312	0.9887304519806941	0.9472082844163707	0.9009545672722621	0.8425342594607786	0.9755417470522941	0.968984962406015	0.37119635195694767	0.35903849644877406	0.945078845472641	0.6225626740947076	0.9367658074914925	0.901346248910424	0.9710659735802771	0.765592628109549	0.001477336973379595	0.006054490413723523	0.9693539145082032	0.6901114206128134	0.9985226630266204	0.9939455095862765	0.9982395696184434	0.990033534130406	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.06853828509084565	0.07328206796661778	0.017118602865622355	0.022465716447993216	MaxBin (F1)			0.01113576943469397	0.07046244784791053	genome	NA
0.9171700992178731	0.9672701949860725	0.9144728636690161	0.6275434167986301	0.976053197496192	0.9145061744961503	0.9450537875108291	0.953917626414699	0.3505666850066868	0.3468767478425269	0.9853002723418589	0.7841225626740947	0.9603033858132167	0.933796239259723	0.95004130119237	0.8669311411183867	0.08278136838139183	0.03070481507327283	0.9999470874238028	0.9979108635097493	0.9172186316186082	0.9692951849267272	0.9862633159602117	0.9106769016050245	strmgCAMI2_short_read_pooled_gold_standard_assembly	0.01914827570853804	0.03437832336883706	0.029509636562424547	0.027921347510598254	CONCOCT (G1)			0.03134947140166981	0.005499846939152821	genome	NA
