tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
LSHVd	strmgCAMI2_long_read_sample_0	0.04434482367709502	0.7818729970200818	0.7882197982499903	0.6666666666666666	0.15789473684210525	0.25531914893617025	6.0	32.0	3.0	38.0	0.14634146341463414	2.547047918661731	0.7002027737133563	0.3941406420950786
LSHVd	strmgCAMI2_long_read_sample_74	0.05064062442596692	0.6737227214979294	0.9434088548610159	0.5555555555555556	0.11904761904761904	0.196078431372549	5.0	37.0	4.0	42.0	0.10869565217391304	2.6475786846545	0.7083501098394235	0.4720525661980791
LSHVd	strmgCAMI2_long_read_sample_73	0.04009351220592127	0.8926036070084519	0.551009526824594	0.2222222222222222	0.08695652173913043	0.125	2.0	21.0	7.0	23.0	0.06666666666666667	1.4335985671633646	0.45721614151934975	0.275517712744796
LSHVd	strmgCAMI2_long_read_sample_72	0.052490340822868235	0.7231582644214934	0.9823710284705109	0.6666666666666666	0.13333333333333333	0.2222222222222222	6.0	39.0	3.0	45.0	0.125	2.6450348232703313	0.6948435356111445	0.49119509253956
LSHVd	strmgCAMI2_long_read_sample_71	0.041076255084311536	0.8810125045896723	0.6315995934715241	0.3333333333333333	0.11538461538461539	0.17142857142857146	3.0	23.0	6.0	26.0	0.09375	1.7045988453286904	0.5231885628422258	0.3163808301302963
LSHVd	strmgCAMI2_long_read_sample_70	0.05186154655541959	0.628529321691936	1.0245964983250482	0.5555555555555556	0.10869565217391304	0.1818181818181818	5.0	41.0	4.0	46.0	0.1	2.7595251895468413	0.7207583327279894	0.5123184857427108
LSHVd	strmgCAMI2_long_read_sample_7	0.047408356666483735	0.7657808277850284	1.1146334598531529	0.6666666666666666	0.12244897959183673	0.20689655172413793	6.0	43.0	3.0	49.0	0.11538461538461539	2.8976978616470292	0.7445610638943898	0.5695375826053304
LSHVd	strmgCAMI2_long_read_sample_69	0.05478273524347782	0.7442669066607087	1.1280187938347794	0.3333333333333333	0.1	0.15384615384615383	3.0	27.0	6.0	30.0	0.08333333333333333	2.381733331809784	0.7002631910312238	0.5641620027391305
LSHVd	strmgCAMI2_long_read_sample_68	0.04032868126838934	0.8615959422855604	0.6270190902505619	0.5555555555555556	0.18518518518518517	0.2777777777777778	5.0	22.0	4.0	27.0	0.16129032258064516	1.8391449504629498	0.5580206257880161	0.31351503163833455
LSHVd	strmgCAMI2_long_read_sample_67	0.050831755531920486	0.689213423386581	0.9871732105875048	0.6666666666666666	0.12244897959183673	0.20689655172413793	6.0	43.0	3.0	49.0	0.11538461538461539	2.791532679858075	0.7172820084250263	0.49364954561081786
LSHVd	strmgCAMI2_long_read_sample_66	0.04079717523153693	0.6625939917484963	0.7554218059219008	0.5555555555555556	0.125	0.20408163265306123	5.0	35.0	4.0	40.0	0.11363636363636363	2.518534462662553	0.6827369920840911	0.3777275229719611
LSHVd	strmgCAMI2_long_read_sample_65	0.054683425114306974	0.6699180327645353	1.0414385066470921	0.7777777777777778	0.14893617021276595	0.25	7.0	40.0	2.0	47.0	0.14285714285714285	2.6915611736051517	0.6990799969356198	0.5207223776578119
LSHVd	strmgCAMI2_long_read_sample_64	0.047751445758729805	0.7275803111795272	0.8864917117914096	0.5555555555555556	0.11904761904761904	0.196078431372549	5.0	37.0	4.0	42.0	0.10869565217391304	2.642631024265896	0.7070263811812239	0.4437810558490589
LSHVd	strmgCAMI2_long_read_sample_63	0.04831069028726929	0.8013313459889545	0.8879301327273162	0.5555555555555556	0.125	0.20408163265306123	5.0	35.0	4.0	40.0	0.11363636363636363	2.5134803168021365	0.6813668887984498	0.44400036439262724
LSHVd	strmgCAMI2_long_read_sample_62	0.05046007946799261	0.5783931085507596	0.9131305014492804	0.7777777777777778	0.1346153846153846	0.22950819672131148	7.0	45.0	2.0	52.0	0.12962962962962962	2.935239627525381	0.7428647374298614	0.4574357509587145
