tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
LSHVd	strmgCAMI2_long_read_sample_0	0.04434482367709502	0.7818729970200818	0.9473677435062657	0.75	0.140625	0.23684210526315788	9.0	55.0	3.0	64.0	0.13432835820895522	3.031392129043933	0.7288957319269199	0.4793095276795073
LSHVd	strmgCAMI2_long_read_sample_74	0.05064062442596692	0.6737227214979294	1.1983707864520212	0.5	0.06818181818181818	0.12000000000000001	6.0	82.0	6.0	88.0	0.06382978723404255	3.5294658832071204	0.7882958172353731	0.6082785492588817
LSHVd	strmgCAMI2_long_read_sample_73	0.04009351220592127	0.8926036070084519	0.5406035073629547	0.16666666666666666	0.06896551724137931	0.0975609756097561	2.0	27.0	10.0	29.0	0.05128205128205128	1.574748231971308	0.4676596032780504	0.2757781563094709
LSHVd	strmgCAMI2_long_read_sample_72	0.052490340822868235	0.7231582644214934	1.263497488951191	0.5	0.06315789473684211	0.11214953271028039	6.0	89.0	6.0	95.0	0.0594059405940594	3.587261675330713	0.787737956190095	0.6376328201398459
LSHVd	strmgCAMI2_long_read_sample_71	0.041076255084311536	0.8810125045896723	0.6592680175481054	0.16666666666666666	0.05714285714285714	0.0851063829787234	2.0	33.0	10.0	35.0	0.044444444444444446	1.8437381419216292	0.5185816156489744	0.3336737974396547
LSHVd	strmgCAMI2_long_read_sample_70	0.05186154655541959	0.628529321691936	1.3381361059395502	0.5833333333333334	0.058823529411764705	0.10687022900763359	7.0	112.0	5.0	119.0	0.056451612903225805	3.9539539270263027	0.8273387228276066	0.6836737164103068
LSHVd	strmgCAMI2_long_read_sample_7	0.047408356666483735	0.7657808277850284	1.032046063518651	0.6666666666666666	0.08602150537634409	0.1523809523809524	8.0	85.0	4.0	93.0	0.08247422680412371	3.5132576176646566	0.7751087699170482	0.530100105100317
LSHVd	strmgCAMI2_long_read_sample_69	0.05478273524347782	0.7442669066607087	1.4967536335823735	0.3333333333333333	0.046511627906976744	0.08163265306122448	4.0	82.0	8.0	86.0	0.0425531914893617	3.6918037541157864	0.8288091405043594	0.7551219435519644
LSHVd	strmgCAMI2_long_read_sample_68	0.04032868126838934	0.8615959422855604	0.6323849428492556	0.4166666666666667	0.13513513513513514	0.20408163265306126	5.0	32.0	7.0	37.0	0.11363636363636363	2.0011573299424663	0.5541962953339604	0.3202482554558484
LSHVd	strmgCAMI2_long_read_sample_67	0.050831755531920486	0.689213423386581	1.147885158095976	0.6666666666666666	0.07766990291262135	0.1391304347826087	8.0	95.0	4.0	103.0	0.07476635514018691	3.6819853162147655	0.7944337901019759	0.595419664039733
LSHVd	strmgCAMI2_long_read_sample_66	0.04079717523153693	0.6625939917484963	0.8584409135932269	0.5833333333333334	0.09210526315789473	0.1590909090909091	7.0	69.0	5.0	76.0	0.08641975308641975	3.056704584434363	0.7058168546189606	0.43613272434475353
LSHVd	strmgCAMI2_long_read_sample_65	0.054683425114306974	0.6699180327645353	1.330630476935533	0.5833333333333334	0.061946902654867256	0.112	7.0	106.0	5.0	113.0	0.059322033898305086	3.9379591454125604	0.8330095385500217	0.6929071475362332
LSHVd	strmgCAMI2_long_read_sample_64	0.047751445758729805	0.7275803111795272	1.0614781541266516	0.6666666666666666	0.0975609756097561	0.1702127659574468	8.0	74.0	4.0	82.0	0.09302325581395349	3.3646816107592468	0.7635343714823865	0.5364365698719358
LSHVd	strmgCAMI2_long_read_sample_63	0.04831069028726929	0.8013313459889545	1.0175222596037379	0.5	0.08	0.13793103448275865	6.0	69.0	6.0	75.0	0.07407407407407407	3.1957188488194435	0.7401801150998276	0.5266831024107004
LSHVd	strmgCAMI2_long_read_sample_62	0.05046007946799261	0.5783931085507596	1.1386594356194284	0.5833333333333334	0.059322033898305086	0.1076923076923077	7.0	111.0	5.0	118.0	0.056910569105691054	3.7930965134436025	0.7950843143123182	0.57830266191194
LSHVd	strmgCAMI2_long_read_sample_61	0.037209898093074914	0.7867123521486646	0.9772966653967289	0.4166666666666667	0.07692307692307693	0.12987012987012989	5.0	60.0	7.0	65.0	0.06944444444444445	3.0013629569820677	0.7189948519216101	0.4950784111017541
LSHVd	strmgCAMI2_long_read_sample_60	0.0539588984406143	0.597731907483915	1.3131044870209712	0.5833333333333334	0.05185185185185185	0.09523809523809523	7.0	128.0	5.0	135.0	0.05	4.022304400170742	0.819995735580632	0.6636023549292541
LSHVd	strmgCAMI2_long_read_sample_6	0.052084145659086784	0.7237924973519104	1.267963668271578	0.5833333333333334	0.07291666666666667	0.12962962962962965	7.0	89.0	5.0	96.0	0.06930693069306931	3.6203528682582764	0.7931806944583728	0.6674518759049172
LSHVd	strmgCAMI2_long_read_sample_59	0.05087836765640231	0.6867706899828278	1.1848380654719763	0.5	0.058823529411764705	0.10526315789473684	6.0	96.0	6.0	102.0	0.05555555555555555	3.6836814174613197	0.7964763396837085	0.619385206470076
LSHVd	strmgCAMI2_long_read_sample_58	0.0551624383503919	0.7438075647102166	1.4581878736432594	0.6666666666666666	0.0851063829787234	0.1509433962264151	8.0	86.0	4.0	94.0	0.08163265306122448	3.827523514404326	0.8424554641140738	0.7425950575631863
LSHVd	strmgCAMI2_long_read_sample_57	0.04412316046215712	0.8107372295716817	0.8704047506879695	0.4166666666666667	0.08333333333333333	0.1388888888888889	5.0	55.0	7.0	60.0	0.07462686567164178	2.7984841133461593	0.6834999035419125	0.44405800204986423
