tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
LSHVc	strmgCAMI2_short_read_sample_0	0.04921848035775296	0.7169775561148146	0.5467119374036702	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.5336247491865101	0.48572617900846904	0.273355832023919
LSHVc	strmgCAMI2_short_read_sample_74	0.051276700490259106	0.6599894790901123	0.5926000940683513	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.5488825051291016	0.49961438697771454	0.29630019518427325
LSHVc	strmgCAMI2_short_read_sample_73	0.04819408845868254	0.3869769754143223	0.5334715459248153	0.6	0.375	0.4615384615384615	3.0	5.0	2.0	8.0	0.3	0.7693670249530651	0.36998733050776084	0.26673577296240764
LSHVc	strmgCAMI2_short_read_sample_72	0.04922572198927273	0.5303822967133449	0.5687396082713466	0.6	0.42857142857142855	0.5	3.0	4.0	2.0	7.0	0.3333333333333333	0.7466069896910048	0.3836800944038769	0.28436980413567325
LSHVc	strmgCAMI2_short_read_sample_71	0.04628362020924664	0.4300668152706034	0.5007921384639904	0.8	0.4	0.5333333333333333	4.0	6.0	1.0	10.0	0.36363636363636365	0.8218250814393031	0.3569140979587799	0.2503960692319952
LSHVc	strmgCAMI2_short_read_sample_70	0.052400248719531556	0.708146695463956	0.6192030799657247	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.5829925084837673	0.5306626500515043	0.30960153998286233
LSHVc	strmgCAMI2_short_read_sample_7	0.049684332761082306	0.6839230633786747	0.5804191272173301	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.6000036613297954	0.5461468686621038	0.290209563608665
LSHVc	strmgCAMI2_short_read_sample_69	0.04750185141797614	0.6934786507714389	0.5152702430904141	0.6	0.75	0.6666666666666665	3.0	1.0	2.0	4.0	0.5	0.8045632249085855	0.580369687328624	0.2576349927277107
LSHVc	strmgCAMI2_short_read_sample_68	0.04969337770151328	0.5385156719614774	0.5633096806148885	0.6	0.6	0.6	3.0	2.0	2.0	5.0	0.42857142857142855	0.7212739996139498	0.448152733349683	0.28165484030744425
LSHVc	strmgCAMI2_short_read_sample_67	0.04611631164994189	0.501481329195391	0.48259200504118455	0.6	0.42857142857142855	0.5	3.0	4.0	2.0	7.0	0.3333333333333333	0.7430885468445215	0.38187197245734644	0.24129600252059225
LSHVc	strmgCAMI2_short_read_sample_66	0.04801925688886444	0.62245639048035	0.533935778600283	0.6	0.6	0.6	3.0	2.0	2.0	5.0	0.42857142857142855	0.7325060056818303	0.4551315711048427	0.2669677558162636
LSHVc	strmgCAMI2_short_read_sample_65	0.035651105149916755	0.4543643334311569	0.3059988672138112	0.6	0.3333333333333333	0.42857142857142855	3.0	6.0	2.0	9.0	0.2727272727272727	0.757692035972545	0.3448405064224816	0.152999357107227
LSHVc	strmgCAMI2_short_read_sample_64	0.05153387857981213	0.6831319028011221	0.5941120023548087	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.6831698725000966	0.4928028935703174	0.2970560011774043
LSHVc	strmgCAMI2_short_read_sample_63	0.05185645771603898	0.6584491593543808	0.6076261315015014	0.6	0.5	0.5454545454545454	3.0	3.0	2.0	6.0	0.375	0.9142464003839518	0.5102506313405097	0.30381291384429376
LSHVc	strmgCAMI2_short_read_sample_62	0.04973893104143845	0.545623849960595	0.5753985045276109	0.8	0.5714285714285714	0.6666666666666666	4.0	3.0	1.0	7.0	0.5	0.7168725501353883	0.36839961520495207	0.28769925226380544
LSHVc	strmgCAMI2_short_read_sample_61	0.050293796552348974	0.6818177948502993	0.5895514913382445	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.4473996047105821	0.40724067018491295	0.29477559828132305
LSHVc	strmgCAMI2_short_read_sample_60	0.0494438131451414	0.6850916385488182	0.5526580060925603	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.5348731931058441	0.4868625616360906	0.2763291412108507
LSHVc	strmgCAMI2_short_read_sample_6	0.04031166775338013	0.46917277731773954	0.34272076107025456	0.6	0.42857142857142855	0.5	3.0	4.0	2.0	7.0	0.3333333333333333	0.7517797869793874	0.3863383863557915	0.17136029485497983
LSHVc	strmgCAMI2_short_read_sample_59	0.0523765578947831	0.7075148590617308	0.612915333051114	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.6211754386871418	0.5654182509101703	0.306457666525557
LSHVc	strmgCAMI2_short_read_sample_58	0.0372361191688782	0.5489694803829113	0.3190621023170146	0.4	0.4	0.4000000000000001	2.0	3.0	3.0	5.0	0.25	0.7381501056906891	0.45863844761449485	0.15953113092407276
LSHVc	strmgCAMI2_short_read_sample_57	0.03811571469353854	0.5664039261071263	0.3561149816136154	0.8	0.4	0.5333333333333333	4.0	6.0	1.0	10.0	0.36363636363636365	0.8989469624499039	0.390407705315683	0.17805740177810686
LSHVc	strmgCAMI2_short_read_sample_56	0.052379614742002305	0.632453781912132	0.6116750351239688	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.6159601381703173	0.4443213183617987	0.3058373646433021
LSHVc	strmgCAMI2_short_read_sample_75	0.052646113497014486	0.6578740229639207	0.6207493357067265	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.6373480166345482	0.4597494114595396	0.3103746678533633
LSHVc	strmgCAMI2_short_read_sample_77	0.05104819243228107	0.6457414240413744	0.590578681485749	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.4033070784778246	0.36710592320678426	0.2952893407428745
LSHVc	strmgCAMI2_short_read_sample_78	0.051578502923388135	0.6597215676708188	0.5882204280774738	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.5194970918057493	0.47286663108015636	0.29411021403873683
LSHVc	strmgCAMI2_short_read_sample_79	0.04331619667755018	0.448169684709087	0.4351466061435658	0.8	0.4	0.5333333333333333	4.0	6.0	1.0	10.0	0.36363636363636365	0.9193192966244613	0.3992552976311823	0.2175733030717829
LSHVc	strmgCAMI2_short_read_sample_99	0.049962854552561865	0.5549764502031967	0.5774519412193916	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.5325499526072718	0.3841535878260818	0.2887258262467826
LSHVc	strmgCAMI2_short_read_sample_98	0.05257995224830427	0.6102914804173625	0.6252207615504334	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.5725750272405097	0.41302557616837327	0.3126105370804852
LSHVc	strmgCAMI2_short_read_sample_97	0.04947896761971147	0.569070709486266	0.5513470661090129	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.5862806348449927	0.4229120822300521	0.2756735330545064
LSHVc	strmgCAMI2_short_read_sample_96	0.052814853468718906	0.7016588343874259	0.6118905381643504	0.6	0.75	0.6666666666666665	3.0	1.0	2.0	4.0	0.5	0.45897970375521063	0.33108387123816396	0.3059452690821751
LSHVc	strmgCAMI2_short_read_sample_95	0.0482191513951994	0.5050851370018752	0.5390010677940821	0.6	0.42857142857142855	0.5	3.0	4.0	2.0	7.0	0.3333333333333333	0.7588500385177357	0.3899717769014859	0.2695006686473754
LSHVc	strmgCAMI2_short_read_sample_94	0.050547743658216196	0.6815845768599015	0.5846636072006722	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.5056524070143027	0.46026465590269766	0.29233180360033617
LSHVc	strmgCAMI2_short_read_sample_93	0.04585486171687691	0.5265849345264565	0.4872376701250492	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.7791942362730889	0.43487658341149427	0.24361871325316797
LSHVc	strmgCAMI2_short_read_sample_92	0.05056684727298199	0.7162472367310799	0.5738650826594616	0.4	0.6666666666666666	0.5	2.0	1.0	3.0	3.0	0.3333333333333333	0.5250708198552794	0.4779400569893889	0.2869326847960732
LSHVc	strmgCAMI2_short_read_sample_91	0.05038510649054201	0.6434730851076017	0.5667449617819702	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.6684786991961833	0.4822054521351194	0.28337233920481547
LSHVc	strmgCAMI2_short_read_sample_90	0.04665857500621264	0.5732748050819576	0.4734686599307043	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.6917788615193058	0.4990129664528577	0.23673432996535215
LSHVc	strmgCAMI2_short_read_sample_55	0.044286174776744874	0.3783864049928982	0.4477243440142103	0.6	0.375	0.4615384615384615	3.0	5.0	2.0	8.0	0.3	0.7811916686897973	0.37567378213418157	0.22386217200710518
LSHVc	strmgCAMI2_short_read_sample_9	0.053316347877975616	0.6641335059578996	0.6317385626770097	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.6049617225069761	0.43638763849422985	0.3158694392732245
LSHVc	strmgCAMI2_short_read_sample_88	0.04909273598890611	0.6496057436821644	0.5479554878101306	0.4	0.5	0.4444444444444445	2.0	2.0	3.0	4.0	0.2857142857142857	0.6668942693075944	0.4810625275636677	0.2739777439050653
LSHVc	strmgCAMI2_short_read_sample_87	0.04830084432961921	0.45793437730506303	0.5361040241727906	0.8	0.5	0.6153846153846154	4.0	4.0	1.0	8.0	0.4444444444444444	0.7588731923769703	0.36494086376861046	0.2680520120863953
LSHVc	strmgCAMI2_short_read_sample_86	0.048369927974641715	0.5503796400627566	0.54900983337464	0.6	0.42857142857142855	0.5	3.0	4.0	2.0	7.0	0.3333333333333333	0.7787013552766439	0.4001733356777456	0.2745049166873201
