tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
LSHVd	strmgCAMI2_long_read_sample_0	0.04434482367709501	0.7818729970200818	0.26737838749335463	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.1211465598932868	0.6257238089978178	0.13396336856771726	0.04434482367709501	0.7818729970200818	0.2711936679769867	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	1.1436530883273317	0.5877214263374618	0.13559683398849337
LSHVd	strmgCAMI2_long_read_sample_74	0.050640624425966896	0.6737227214979292	0.342948277882843	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.9302711031294553	0.578009934985638	0.172114212919618	0.050640624425966896	0.6737227214979292	0.34492542616348276	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	0.9716145338487041	0.4993110983672071	0.17246271308174138
LSHVd	strmgCAMI2_long_read_sample_73	0.04009351220592127	0.8926036070084516	0.3164145689137376	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.907875888518483	0.5066951809718209	0.1587303135743692	0.04009351220592127	0.8926036070084516	0.3229957293654192	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	0.9409688223539175	0.48356231802929467	0.16149794543168233
LSHVd	strmgCAMI2_long_read_sample_72	0.052490340822868214	0.7231582644214934	0.3636281784910993	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.9327484012208402	0.5795491668331334	0.1826029028142356	0.052490340822868214	0.7231582644214934	0.3709488392689834	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	0.9794516992094793	0.503338604654987	0.18547451237174786
LSHVd	strmgCAMI2_long_read_sample_71	0.04107625508431152	0.8810125045896721	0.2786916330207113	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.0000125013813022	0.5581176037049985	0.1397784758760534	0.04107625508431152	0.8810125045896721	0.27956427665144284	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	1.0314901674538979	0.5300810872252547	0.13978213832572142
LSHVd	strmgCAMI2_long_read_sample_70	0.051861546555419615	0.6285293216919361	0.33951210388513564	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.7785944207204356	0.48376791344681075	0.17037717968758945	0.051861546555419615	0.6285293216919361	0.3468033120875546	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	0.8194471869571857	0.4211125510368529	0.17340165604377733
LSHVd	strmgCAMI2_long_read_sample_7	0.047408356666483735	0.7657808277850284	0.3374933473934525	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.1828591498947607	0.6601662612696406	0.16930747833296347	0.047408356666483735	0.7657808277850284	0.3440490357032547	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	1.2203256645436205	0.5868525948355368	0.1720246038639293
LSHVd	strmgCAMI2_long_read_sample_69	0.05478273524347783	0.7442669066607086	0.35330162072242927	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.39883267116728277	0.3630331421568232	0.17701688884342726	0.05478273524347783	0.7442669066607086	0.35743770609376796	0.75	0.75	0.75	3.0	1.0	1.0	4.0	0.6	0.42153153043758745	0.3040707242703213	0.17871885304688398
LSHVd	strmgCAMI2_long_read_sample_68	0.040328681268389316	0.8615959422855604	0.2800699666158296	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.010187492768405	0.5637963745232081	0.1404695458636027	0.040328681268389316	0.8615959422855604	0.2738816816350715	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	1.0416555239758176	0.5353050470914668	0.13694077234714955
LSHVd	strmgCAMI2_long_read_sample_67	0.05083175553192047	0.6892134233865808	0.363534105126428	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.0004697472696094	0.5583727974942096	0.18241181712989768	0.05083175553192047	0.6892134233865808	0.37060443404193955	0.75	0.375	0.5	3.0	5.0	1.0	8.0	0.3333333333333333	1.0399305501092009	0.5001008825038253	0.18530212436990756
LSHVd	strmgCAMI2_long_read_sample_66	0.040797175231536906	0.6625939917484963	0.21554350247947082	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.9526733830422023	0.5316971387083799	0.10806355127805425	0.040797175231536906	0.6625939917484963	0.22049802901904453	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	0.984614246241112	0.473499363413559	0.11024901450952225
LSHVd	strmgCAMI2_long_read_sample_65	0.054683425114306995	0.6699180327645353	0.4126583079800446	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.7197537645358758	0.44720815818693266	0.20693952261380444	0.054683425114306995	0.6699180327645353	0.4185563128300871	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	0.7541100026839483	0.3875358803437293	0.2092782610541741
LSHVd	strmgCAMI2_long_read_sample_64	0.0477514457587298	0.7275803111795273	0.31108662705029366	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.9955924742416272	0.6185963848309635	0.1562374753508383	0.0477514457587298	0.7275803111795273	0.3198306106996415	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	1.0434298197619152	0.536216854754816	0.15991530534982076
LSHVd	strmgCAMI2_long_read_sample_63	0.048310690287269316	0.8013313459889544	0.34095287650543865	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.0319840432640113	0.5759612609769668	0.17081239572350276	0.048310690287269316	0.8013313459889544	0.3447575192526224	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	1.0537647634139704	0.5415279651660919	0.1723788458157341
LSHVd	strmgCAMI2_long_read_sample_62	0.05046007946799259	0.5783931085507595	0.37835265833774256	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.0249183450091168	0.5720178196969056	0.1897151354388018	0.05046007946799259	0.5783931085507595	0.3838378194770663	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	1.0580960335095566	0.5088366334428399	0.19191900569803597
LSHVd	strmgCAMI2_long_read_sample_61	0.03720989809307491	0.7867123521486646	0.0916582840014971	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.8596646244817063	0.7825004629466789	0.0459408683256423	0.03720989809307491	0.7867123521486646	0.09652220272857923	0.75	0.75	0.75	3.0	1.0	1.0	4.0	0.6	0.8855694219723127	0.6388033067211807	0.048261101364289606
LSHVd	strmgCAMI2_long_read_sample_60	0.05395889844061432	0.5977319074839151	0.3876022657946276	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.8623021236848417	0.4812599785262181	0.1946065108275587	0.05395889844061432	0.5977319074839151	0.39423125433750883	1.0	0.4444444444444444	0.6153846153846153	4.0	5.0	0.0	9.0	0.4444444444444444	0.9108658785597552	0.4145529264305031	0.1971156271687544
LSHVd	strmgCAMI2_long_read_sample_6	0.05208414565908679	0.7237924973519104	0.3477589961210026	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.8938902699214746	0.5554052523651332	0.1747046840588309	0.05208414565908679	0.7237924973519104	0.3571856346330157	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	0.9479796627393164	0.455881852765868	0.1785928173165078
LSHVd	strmgCAMI2_long_read_sample_59	0.050878367656402315	0.6867706899828274	0.36242330442051496	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.8570781562270693	0.5325326001118189	0.18183031160241697	0.050878367656402315	0.6867706899828274	0.36906310376015666	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	0.8954713812511907	0.460181258464538	0.18453145961434853
LSHVd	strmgCAMI2_long_read_sample_58	0.05516243835039191	0.7438075647102168	0.36117435562201833	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.7709127315371013	0.47899501160077645	0.18141411527328094	0.05516243835039191	0.7438075647102168	0.3702909280676198	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	0.8199372416097748	0.42136438931048903	0.18514546403380985
LSHVd	strmgCAMI2_long_read_sample_57	0.044123160462157085	0.8107372295716817	0.28019170316244907	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.06244893239151	0.5929640393357294	0.14068362113994512	0.044123160462157085	0.8107372295716817	0.28784260918701604	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	1.1081816061571734	0.5329227025357736	0.14392137655419632
LSHVd	strmgCAMI2_long_read_sample_56	0.04200552024785095	0.8531783686886498	0.2485891414739335	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	1.0268565084795416	0.6380218214982475	0.1249169557043963	0.04200552024785095	0.8531783686886498	0.2585539210976443	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.0727811727921948	0.5987305724994336	0.12927696054882212
LSHVd	strmgCAMI2_long_read_sample_75	0.05009545133527839	0.6666291198303357	0.3150721121109056	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.059569322923184	0.591356898691139	0.15798906996979345	0.05009545133527839	0.6666291198303357	0.3207008621721253	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	1.0928767477467296	0.5255626214256885	0.16035043108606264
LSHVd	strmgCAMI2_long_read_sample_55	0.05096440539282101	0.7267468095913915	0.4015036961129631	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.9809732166122771	0.5474915765534704	0.20136349885213267	0.05096440539282101	0.7267468095913915	0.40645978717105274	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	1.0161743409249475	0.4886765607770109	0.2032297919706304
LSHVd	strmgCAMI2_long_read_sample_76	0.049900402767889575	0.6462176000474055	0.3172015167694299	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.9312644268785629	0.5786271217322864	0.15917892054647595	0.049900402767889575	0.6462176000474055	0.3224408223668806	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	0.9747405894027338	0.46875113816150316	0.161220330573275
