tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
LSHVd	strmgCAMI2_long_read_sample_0	0.044989626579667166	0.7934593658866423	0.33867327886698034	0.8	0.25	0.38095238095238093	4.0	12.0	1.0	16.0	0.23529411764705882	1.4240418145530016	0.5136145159685341	0.16933663943349014
LSHVd	strmgCAMI2_long_read_sample_74	0.051070872197235974	0.6773077567434684	0.4109777451487243	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.1618033416061264	0.42901839158419514	0.20548887257436216
LSHVd	strmgCAMI2_long_read_sample_73	0.04057505630418603	0.8898562380983576	0.37706686643624465	0.4	0.16666666666666666	0.23529411764705882	2.0	10.0	3.0	12.0	0.13333333333333333	1.099358849373874	0.44241454682720804	0.18853343321812235
LSHVd	strmgCAMI2_long_read_sample_72	0.05272085831892393	0.6470777820323382	0.4365108714073731	0.8	0.25	0.38095238095238093	4.0	12.0	1.0	16.0	0.23529411764705882	1.2105066445620192	0.43659798326819105	0.21825543570368655
LSHVd	strmgCAMI2_long_read_sample_71	0.04144330144652825	0.8783938953973113	0.34988100728709937	0.4	0.16666666666666666	0.23529411764705882	2.0	10.0	3.0	12.0	0.13333333333333333	1.1764174504063873	0.4734252091549408	0.17494050364354968
LSHVd	strmgCAMI2_long_read_sample_70	0.05271664075047822	0.6690700379707577	0.3944059905322667	0.6	0.17647058823529413	0.2727272727272727	3.0	14.0	2.0	17.0	0.15789473684210525	0.999322231113213	0.3527169011856047	0.19720299526613333
LSHVd	strmgCAMI2_long_read_sample_7	0.048415255878209676	0.7765772597535254	0.35294023417044995	0.8	0.2222222222222222	0.3478260869565218	4.0	14.0	1.0	18.0	0.21052631578947367	1.5698974035532565	0.5431472263955239	0.17647011708522495
LSHVd	strmgCAMI2_long_read_sample_69	0.05508537850301669	0.7541509551409136	0.41365996991975423	0.6	0.42857142857142855	0.5	3.0	4.0	2.0	7.0	0.3333333333333333	0.5223949395464826	0.26845789349528354	0.20682998495987717
LSHVd	strmgCAMI2_long_read_sample_68	0.04067637141001938	0.8598229482881178	0.33893129446940484	0.4	0.16666666666666666	0.23529411764705882	2.0	10.0	3.0	12.0	0.13333333333333333	1.1827463298989105	0.4759721376252973	0.1694656472347024
LSHVd	strmgCAMI2_long_read_sample_67	0.052135295315283665	0.6355002405501751	0.41875162558635537	0.8	0.21052631578947367	0.3333333333333333	4.0	15.0	1.0	19.0	0.2	1.2940417999512328	0.4394867100684733	0.20937581279317768
LSHVd	strmgCAMI2_long_read_sample_66	0.041131839514978015	0.7174178621948296	0.26787477630867707	0.6	0.1875	0.2857142857142857	3.0	13.0	2.0	16.0	0.16666666666666666	1.1867802916579477	0.42804051034991975	0.13393738815433853
LSHVd	strmgCAMI2_long_read_sample_65	0.05569781288207551	0.6768301309857196	0.47687215281411427	0.8	0.25	0.38095238095238093	4.0	12.0	1.0	16.0	0.23529411764705882	0.9247846893540634	0.333545571305287	0.23843607640705716
LSHVd	strmgCAMI2_long_read_sample_64	0.04805066189915923	0.7185523148855307	0.37242769169051937	0.8	0.25	0.38095238095238093	4.0	12.0	1.0	16.0	0.23529411764705882	1.2736305758084534	0.4593651289108527	0.1862138458452597
LSHVd	strmgCAMI2_long_read_sample_63	0.04920225359459751	0.7352208355231002	0.37855056562889927	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.2687234039371351	0.46850069596964966	0.18927528281444964
LSHVd	strmgCAMI2_long_read_sample_62	0.05089917820190808	0.5718161135746552	0.4122853847788937	0.8	0.21052631578947367	0.3333333333333333	4.0	15.0	1.0	19.0	0.2	1.2851553352984644	0.43646865986751987	0.20614269238944682
LSHVd	strmgCAMI2_long_read_sample_61	0.03742294652359833	0.7798932708940091	0.1664659271799709	0.8	0.5714285714285714	0.6666666666666666	4.0	3.0	1.0	7.0	0.5	1.0279948409440098	0.5282848447257822	0.08323296358998547
LSHVd	strmgCAMI2_long_read_sample_60	0.05424193786731169	0.6072934351681893	0.4831574020030879	0.6	0.15	0.24	3.0	17.0	2.0	20.0	0.13636363636363635	1.113150793560004	0.3715788635008482	0.24157870100154394
LSHVd	strmgCAMI2_long_read_sample_6	0.05333308369310816	0.6814427284487579	0.3957570991827245	0.6	0.1875	0.2857142857142857	3.0	13.0	2.0	16.0	0.16666666666666666	1.1406547764513053	0.41140424733815184	0.19787854959136225
LSHVd	strmgCAMI2_long_read_sample_59	0.052247755364401016	0.7177505822028105	0.4095603913638567	0.8	0.23529411764705882	0.3636363636363636	4.0	13.0	1.0	17.0	0.2222222222222222	1.0991164821603507	0.3879398932191893	0.20478019568192837
LSHVd	strmgCAMI2_long_read_sample_58	0.05561518554879263	0.7653618373415164	0.41607108965486284	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.011814736273926	0.3736321933257016	0.20803554482743145
LSHVd	strmgCAMI2_long_read_sample_57	0.04465367217475278	0.7798207972823183	0.32503536094759883	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.2895304163493153	0.4761840883985313	0.1625176804737994
LSHVd	strmgCAMI2_long_read_sample_56	0.04287434052039299	0.8346360809217469	0.2998554117314162	0.6	0.23076923076923078	0.33333333333333337	3.0	10.0	2.0	13.0	0.2	1.2588211418614415	0.49077816612615843	0.1499277058657081
LSHVd	strmgCAMI2_long_read_sample_75	0.050291541661769135	0.6136776743839868	0.45504144749819275	0.8	0.21052631578947367	0.3333333333333333	4.0	15.0	1.0	19.0	0.2	1.3720737956197826	0.4659881917499311	0.22752072374909635
LSHVd	strmgCAMI2_long_read_sample_55	0.05300468283836201	0.6704105817931136	0.4411335737526535	0.6	0.1875	0.2857142857142857	3.0	13.0	2.0	16.0	0.16666666666666666	1.2338070751759243	0.44500183719250563	0.2205667868763268
LSHVd	strmgCAMI2_long_read_sample_76	0.05118865907468741	0.631249686525678	0.4263986347855102	0.8	0.23529411764705882	0.3636363636363636	4.0	13.0	1.0	17.0	0.2222222222222222	1.1996353322896005	0.42341863693615217	0.21319931739275516
LSHVd	strmgCAMI2_long_read_sample_78	0.05275947867459697	0.6912525898149191	0.4252411440948628	0.6	0.16666666666666666	0.2608695652173913	3.0	15.0	2.0	18.0	0.15	1.1068961032763545	0.3829597698816566	0.21262057204743137
LSHVd	strmgCAMI2_long_read_sample_97	0.05523395286729973	0.6717956129668434	0.47260013546422575	0.6	0.1875	0.2857142857142857	3.0	13.0	2.0	16.0	0.16666666666666666	0.965638895517955	0.3482806114633124	0.23630006773211287
LSHVd	strmgCAMI2_long_read_sample_96	0.05033278307111324	0.7275364919868718	0.3952744854836152	0.8	0.25	0.38095238095238093	4.0	12.0	1.0	16.0	0.23529411764705882	1.2245536219425557	0.44166435941978593	0.1976372427418076
LSHVd	strmgCAMI2_long_read_sample_95	0.05299609264225939	0.679897033556778	0.4332490446019541	0.6	0.16666666666666666	0.2608695652173913	3.0	15.0	2.0	18.0	0.15	1.1894635837790342	0.4115261576748928	0.21662452230097703
LSHVd	strmgCAMI2_long_read_sample_94	0.05239055728890916	0.6630441395093318	0.3913265100784292	0.6	0.16666666666666666	0.2608695652173913	3.0	15.0	2.0	18.0	0.15	1.1365279310281093	0.3932116787133853	0.19566325503921458
LSHVd	strmgCAMI2_long_read_sample_93	0.056103415061176325	0.6675442923016788	0.397822280884671	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	0.8996183050555516	0.33220148750912953	0.19891114044233552
LSHVd	strmgCAMI2_long_read_sample_92	0.05075270588208983	0.6617314239717323	0.3404969463347631	0.6	0.2727272727272727	0.37499999999999994	3.0	8.0	2.0	11.0	0.23076923076923078	0.7585500449095417	0.3163399392435956	0.17024847316738154
LSHVd	strmgCAMI2_long_read_sample_91	0.05404066680845729	0.6395211048624465	0.41994557987923925	0.8	0.23529411764705882	0.3636363636363636	4.0	13.0	1.0	17.0	0.2222222222222222	0.9738097768759267	0.343712124227735	0.20997278993961968
LSHVd	strmgCAMI2_long_read_sample_90	0.054442604263939896	0.6570748809859773	0.43275986473732025	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.0937734279674538	0.4038970280249142	0.21637993236866013
LSHVd	strmgCAMI2_long_read_sample_9	0.0434689525638368	0.8276244043075586	0.2970128754168107	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.2630116906724145	0.46639153519323717	0.14850643770840533
LSHVd	strmgCAMI2_long_read_sample_89	0.05350719180912693	0.8093011506627741	0.20748077475558674	0.6	0.42857142857142855	0.5	3.0	4.0	2.0	7.0	0.3333333333333333	0.5362939620470133	0.2756005781188661	0.10374038737779336
LSHVd	strmgCAMI2_long_read_sample_88	0.05344373035478817	0.7587833260509103	0.4044524891470933	0.8	0.23529411764705882	0.3636363636363636	4.0	13.0	1.0	17.0	0.2222222222222222	1.0243902049620788	0.36156479606844355	0.20222624457354665
LSHVd	strmgCAMI2_long_read_sample_87	0.05024697868637236	0.6751015854290665	0.42658056971937997	0.8	0.25	0.38095238095238093	4.0	12.0	1.0	16.0	0.23529411764705882	1.2291135275541247	0.443308997722969	0.21329028485968998
LSHVd	strmgCAMI2_long_read_sample_86	0.04113765471585986	0.8955028512082811	0.38023864757534737	0.4	0.16666666666666666	0.23529411764705882	2.0	10.0	3.0	12.0	0.13333333333333333	1.1112027943279161	0.44718090090938356	0.19011932378767366
LSHVd	strmgCAMI2_long_read_sample_85	0.048669217558677494	0.7395241670735243	0.38373652849631973	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.2345774676807957	0.4558916474954221	0.19186826424815986
LSHVd	strmgCAMI2_long_read_sample_84	0.052431662844915745	0.694465165669512	0.40081825459760856	0.6	0.16666666666666666	0.2608695652173913	3.0	15.0	2.0	18.0	0.15	1.096626039906892	0.37940657180552473	0.20040912729880428
LSHVd	strmgCAMI2_long_read_sample_83	0.05325335433539048	0.6454733130089916	0.4063514720369845	0.6	0.17647058823529413	0.2727272727272727	3.0	14.0	2.0	17.0	0.15789473684210525	1.151045303801918	0.40626848882266137	0.2031757360184922
LSHVd	strmgCAMI2_long_read_sample_82	0.047282610636452525	0.7934934337345669	0.3493133861237893	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.3377172169519307	0.493977998047253	0.17465669306189469
LSHVd	strmgCAMI2_long_read_sample_81	0.04982255589637746	0.7904160718393782	0.41624271675402036	0.6	0.21428571428571427	0.3157894736842105	3.0	11.0	2.0	14.0	0.1875	1.2018879699880909	0.455423213622764	0.2081213583770102
