Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	1095.07	-	0.00	0.00	2044.22	125.16	0.00	41.72	166.88
GCA_000012885.1_crisprs	-	648.22	-	0.00	0.00	970.73	0.00	0.00	117.73	0.00
GCA_000012985.1_crisprs	-	0.00	-	17.21	0.00	1876.08	0.00	0.00	326.57	687.86
GCA_000014865.1_crisprs	-	0.00	-	0.00	0.00	1371.49	0.00	0.00	268.55	205.18
GCA_000014885.1_crisprs	-	0.00	-	0.00	0.00	1456.31	0.00	0.00	0.00	0.00
GCA_000015145.1_crisprs	0.00	495.13	0.00	15.41	0.00	339.09	0.00	0.00	-	0.00
GCA_000016425.1_crisprs	-	252.84	-	0.00	0.00	1726.93	0.00	0.00	431.03	269.83
GCA_000020525.1_crisprs	-	265.13	-	0.00	0.00	1646.16	35.15	51.89	486.23	82.65
GCA_000192865.1_crisprs	-	222.52	-	0.00	0.00	995.47	19.71	23.20	229.77	59.14
GCA_000195335.1_crisprs	0.00	78.94	-	0.00	0.00	1096.10	0.00	9.45	275.82	56.69
GCA_000211475.1_crisprs	0.00	1256.37	-	0.00	0.00	1452.30	0.00	0.00	199.69	0.00
GCA_000214665.1_crisprs	0.00	925.93	-	0.00	0.00	622.72	0.00	0.00	106.32	0.00
GCA_000221185.1_crisprs	-	86.00	-	0.00	0.00	1783.23	75.88	0.00	417.35	631.40
GCA_000307105.1_crisprs	0.00	871.59	-	0.00	0.00	295.31	0.00	595.88	369.14	0.00
GCA_000591035.1_crisprs	-	395.52	-	0.00	0.00	775.53	43.08	21.54	129.31	713.70
GCA_000626635.1_crisprs	-	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GCA_000725425.1_crisprs	0.00	574.71	-	0.00	0.00	766.28	0.00	471.34	215.46	0.00
