Assembly	A_STAR	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
# misassemblies	0	0	0	1	0	0	0	0
  # contig misassemblies	0	0	0	1	0	0	0	0
    # c. relocations	0	0	0	1	0	0	0	0
    # c. translocations	0	0	0	0	0	0	0	0
    # c. inversions	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0
# misassembled contigs	0	0	0	1	0	0	0	0
Misassembled contigs length	0	0	0	2121	0	0	0	0
# possibly misassembled contigs	8	7	0	11	6	3	1	3
    # possible misassemblies	8	7	0	11	12	4	2	4
# local misassemblies	0	0	0	1	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	1	1	0	1	0	0
# mismatches	6	0	0	281	6	7	83	14
# indels	0	4	0	9	0	0	143	0
    # indels (<= 5 bp)	0	0	0	4	0	0	138	0
    # indels (> 5 bp)	0	4	0	5	0	0	5	0
Indels length	0	400	0	407	0	0	508	0
