Assemblies               ABySS  A_STAR  Flye  HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -      865     -     611     1251        1251     1251        1251     1251              928   
GCA_000012885.1_crisprs  -      943     -     4157    6799        6738     6799        6799     6734              6799  
GCA_000012985.1_crisprs  -      829     -     2025    3670        1199     3670        3604     3608              1342  
GCA_000014865.1_crisprs  -      -       -     4153    9260        2919     9260        9260     4759              5784  
GCA_000014885.1_crisprs  -      206     -     206     206         206      206         206      206               206   
GCA_000015145.1_crisprs  -      2094    3184  3306    3306        3306     3306        3305     -                 3306  
GCA_000016425.1_crisprs  -      480     -     1624    1624        943      1624        957      1624              772   
GCA_000020525.1_crisprs  -      -       -     6290    10622       3378     10622       5335     10599             9938  
GCA_000192865.1_crisprs  -      739     -     2247    3148        3148     4152        -        2247              3148  
GCA_000195335.1_crisprs  -      585     -     3446    3446        2789     3455        3446     2201              2658  
GCA_000211475.1_crisprs  -      988     -     5747    5747        5747     5747        5747     5747              5747  
GCA_000214665.1_crisprs  -      626     -     4288    4288        4288     4288        -        4228              4288  
GCA_000221185.1_crisprs  -      569     -     1591    2041        1976     2558        2041     1976              1291  
GCA_000307105.1_crisprs  543    2051    -     4504    4504        4370     4504        -        4458              4504  
GCA_000591035.1_crisprs  -      1199    -     1947    1199        2188     2188        1199     1199              727   
GCA_000626635.1_crisprs  -      298     -     180     298         298      298         298      298               298   
GCA_000725425.1_crisprs  3437   3303    -     2617    2095        3303     3437        1933     2104              2095  
