Assemblies               ABySS   A_STAR   Flye  HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -       0.00     -     0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000012885.1_crisprs  -       0.00     -     0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000012985.1_crisprs  -       0.00     -     0.00    0.00        0.00     0.00        0.00     1.05              0.00  
GCA_000014865.1_crisprs  -       0.00     -     0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000014885.1_crisprs  -       0.00     -     0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000015145.1_crisprs  0.00    0.00     0.00  2.82    0.00        0.00     0.00        0.00     -                 0.00  
GCA_000016425.1_crisprs  -       0.00     -     0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000020525.1_crisprs  -       4.58     -     0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000192865.1_crisprs  -       159.82   -     6.18    0.00        0.00     11.18       0.00     0.00              0.00  
GCA_000195335.1_crisprs  0.00    1.04     -     0.00    0.00        0.00     0.00        0.00     0.20              0.00  
GCA_000211475.1_crisprs  0.00    881.63   -     17.02   0.00        0.00     0.00        0.00     0.21              68.30 
GCA_000214665.1_crisprs  0.00    1159.96  -     13.24   0.00        0.00     0.00        0.00     0.00              472.30
GCA_000221185.1_crisprs  -       5055.43  -     0.00    0.00        0.00     0.00        0.00     0.64              0.00  
GCA_000307105.1_crisprs  311.94  0.86     -     5.59    0.00        0.00     0.00        0.00     0.00              11.01 
GCA_000591035.1_crisprs  -       0.00     -     0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000626635.1_crisprs  -       0.00     -     0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000725425.1_crisprs  41.52   122.88   -     32.10   0.00        0.00     0.00        0.00     0.00              5.39  
