Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	51284	-	6366	1584791	26102	21560	5682	46714	10244
GCA_000012885.1_crisprs	-	157464	-	87393	3665852	195027	208419	50405	44893	13545
GCA_000012985.1_crisprs	-	149898	-	27989	7215228	146857	91586	179417	95253	9219
GCA_000014865.1_crisprs	-	6772	-	153096	4719539	192603	267623	83507	187862	22876
GCA_000014885.1_crisprs	-	176172	-	9616	5396452	64369	24824	15161	64738	3821
GCA_000015145.1_crisprs	2941	2436774	86436	779035	1667163	270098	3736443	7286997	-	1667163
GCA_000016425.1_crisprs	-	109606	-	59761	5183322	133976	111651	66150	57927	22257
GCA_000020525.1_crisprs	-	218466	-	1716304	3293431	1792111	1536717	802163	595037	95177
GCA_000192865.1_crisprs	-	321620	-	808566	4684311	1022080	894208	396596	371708	84053
GCA_000195335.1_crisprs	511	383850	-	635843	2269117	812629	637696	469564	987916	121056
GCA_000211475.1_crisprs	647	159024	-	1233921	1861292	894881	2085856	560810	475637	568045
GCA_000214665.1_crisprs	1651	29570	-	1246491	5051673	1231326	1402893	13654	989129	2581202
GCA_000221185.1_crisprs	-	113561	-	65003	2011287	284527	176690	132269	156983	15136
GCA_000307105.1_crisprs	4488	467122	-	1734559	5197896	2541353	2220491	407302	911169	907922
GCA_000591035.1_crisprs	-	272000	-	393210	1595975	436339	352463	142720	90829	8648
GCA_000626635.1_crisprs	-	3720	-	191032	5132065	133016	235844	76823	65484	9063
GCA_000725425.1_crisprs	500944	2178583	-	2731938	1859369	1992135	4558984	8381890	1513471	1854709
not_aligned	24570492	421806944	5061630	324647419	108757101	511576255	482676118	293870596	158257529	153496404
