Assemblies               ABySS  A_STAR  Flye   HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -      2.044   -      2.214   1.000       3.601    3.136       1.000    1.000             1.267 
GCA_000012885.1_crisprs  -      2.138   -      1.946   1.000       2.317    3.000       1.000    0.991             1.000 
GCA_000012985.1_crisprs  -      2.000   -      2.012   1.000       2.477    3.000       0.989    0.990             1.054 
GCA_000014865.1_crisprs  -      2.662   -      2.025   1.000       2.117    3.000       1.008    1.000             1.031 
GCA_000014885.1_crisprs  -      2.000   -      2.000   1.000       3.000    3.000       1.000    1.000             1.000 
GCA_000015145.1_crisprs  1.064  3.402   2.001  2.007   1.000       2.734    3.000       3.000    -                 1.000 
GCA_000016425.1_crisprs  -      2.000   -      2.000   1.000       2.907    3.000       1.059    1.000             1.013 
GCA_000020525.1_crisprs  -      2.004   -      1.975   1.000       2.349    3.000       1.048    1.052             1.003 
GCA_000192865.1_crisprs  -      2.114   -      1.964   1.000       2.557    3.000       1.056    1.040             1.051 
GCA_000195335.1_crisprs  1.000  1.974   -      2.007   1.000       2.484    2.993       1.026    1.010             1.015 
GCA_000211475.1_crisprs  1.000  2.618   -      2.019   1.000       2.350    3.000       1.016    1.000             1.035 
GCA_000214665.1_crisprs  1.252  2.705   -      2.085   1.000       2.724    3.052       1.000    0.991             2.852 
GCA_000221185.1_crisprs  -      3.668   -      2.154   1.000       2.650    2.987       1.000    0.993             1.118 
GCA_000307105.1_crisprs  1.269  2.967   -      2.056   1.000       2.267    3.000       1.018    0.992             1.018 
GCA_000591035.1_crisprs  -      2.005   -      1.958   1.000       3.056    3.026       1.000    1.000             1.217 
GCA_000626635.1_crisprs  -      2.000   -      2.342   1.000       3.000    3.000       1.000    1.000             1.000 
GCA_000725425.1_crisprs  2.028  3.646   -      2.095   1.000       2.785    3.000       1.824    0.982             1.005 
